Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
l,G,"['bbl', 'tbE', 'jjl', 'jjE', 'ttl']","['tbE', 'jjE', '(JJ)l']"
l,H^+,"['vE', 'vl']","['vE', 'vl']"
l,H^0,"['vE', 'vl']","['vE', 'vl']"
l,q,"['jl', 'jE']","['jl', 'jE']"
l,d,['jl'],['jl']
l,u,['jl'],['jl']
l,nu,['lE'],['lE']
l,e,['ll'],['ll']
l,b_L,"['bl', 'tE']","['tE', 'bl']"
l,t_L,"['tl', 'bE']","['tl', 'bE']"
l,t,['tl'],['tl']
l,b,['bl'],['bl']
l,tau_L,"['Tl', 'E']","['Tl', 'E']"
l,nu_tau,"['TE', 'lE']",['LE']
l,tau,['Tl'],['Tl']
nu,B,['E'],['E']
nu,W^+,['l'],['l']
nu,W^0,['E'],['E']
nu,G,"['bbE', 'jjE', 'jjl', 'ttE', 'tbl']","['jjl', '(JJ)E', 'tbl']"
nu,H^+,"['vE', 'vl']","['vE', 'vl']"
nu,H^0,"['vE', 'vl']","['vE', 'vl']"
nu,q,"['jl', 'jE']","['jl', 'jE']"
nu,d,['jE'],['jE']
nu,u,['jE'],['jE']
nu,l,['lE'],['lE']
nu,e,['lE'],['lE']
nu,b_L,"['tl', 'bE']","['tl', 'bE']"
nu,t_L,"['bl', 'tE']","['tE', 'bl']"
nu,t,['tE'],['tE']
nu,b,['bE'],['bE']
nu,tau_L,"['TE', 'lE']",['LE']
nu,nu_tau,"['Tl', 'E']","['Tl', 'E']"
nu,tau,['TE'],['TE']
e,B,['l'],['l']
e,W^+,"['TlE', 'llE', 'jjl', 'tbl', 'vvl']","['jjl', 'LlE', 'tbl', 'vvl']"
e,W^0,"['bbl', 'lll', 'lE', 'jjl', 'ttl', 'vvl', 'TTl']","['(JJ)l', 'vvl', 'lE', '(LL)l']"
e,G,"['bbl', 'ttl', 'jjl']",['(JJ)l']
e,H^+,['vl'],['vl']
e,H^0,['vl'],['vl']
e,q,['jl'],['jl']
e,d,['jl'],['jl']
e,u,['jl'],['jl']
e,l,['ll'],['ll']
e,nu,['lE'],['lE']
e,b_L,['bl'],['bl']
e,t_L,['tl'],['tl']
e,t,['tl'],['tl']
e,b,['bl'],['bl']
e,tau_L,['Tl'],['Tl']
e,nu_tau,['lE'],['lE']
e,tau,['Tl'],['Tl']
b_L,B,['b'],['b']
b_L,W^+,['t'],['t']
b_L,W^0,['b'],['b']
b_L,G,['b'],['b']
b_L,H^+,['t'],['t']
b_L,H^0,['b'],['b']
b_L,q,"['bj', 'tj']",['3j']
b_L,d,['bj'],['bj']
b_L,u,['bj'],['bj']
b_L,l,"['bl', 'tE']","['tE', 'bl']"
b_L,nu,"['tl', 'bE']","['tl', 'bE']"
b_L,e,['bl'],['bl']
b_L,t_L,['tb'],['tb']
b_L,t,['tb'],['tb']
b_L,b,"['bb', 'tt']","['bb', 'tt']"
b_L,tau_L,"['tE', 'bT']","['tE', 'bT']"
b_L,nu_tau,"['tT', 'bE']","['tT', 'bE']"
b_L,tau,['bT'],['bT']
t_L,B,['t'],['t']
t_L,W^+,['b'],['b']
t_L,W^0,['t'],['t']
t_L,G,['t'],['t']
t_L,H^+,['b'],['b']
t_L,H^0,['t'],['t']
t_L,q,"['bj', 'tj']",['3j']
t_L,d,['tj'],['tj']
t_L,u,['tj'],['tj']
t_L,l,"['tl', 'bE']","['tl', 'bE']"
t_L,nu,"['bl', 'tE']","['tE', 'bl']"
t_L,e,['tl'],['tl']
t_L,b_L,['tb'],['tb']
t_L,t,"['bb', 'tt']","['bb', 'tt']"
t_L,b,['tb'],['tb']
t_L,tau_L,"['tT', 'bE']","['tT', 'bE']"
t_L,nu_tau,"['tE', 'bT']","['tE', 'bT']"
t_L,tau,['tT'],['tT']
t,B,['t'],['t']
t,W^+,"['vt', 'vb']",['v3']
t,W^0,"['vt', 'vb']",['v3']
t,G,['t'],['t']
t,H^+,['b'],['b']
t,H^0,['t'],['t']
t,q,['tj'],['tj']
t,d,['tj'],['tj']
t,u,['tj'],['tj']
t,l,['tl'],['tl']
t,nu,['tE'],['tE']
t,e,['tl'],['tl']
t,b_L,['tb'],['tb']
t,t_L,"['bb', 'tt']","['bb', 'tt']"
t,b,['tb'],['tb']
t,tau_L,['tT'],['tT']
t,nu_tau,['tE'],['tE']
t,tau,['tT'],['tT']
b,B,['b'],['b']
b,W^+,"['vt', 'vb']",['v3']
b,W^0,"['vt', 'vb']",['v3']
b,G,['b'],['b']
b,H^+,['t'],['t']
b,H^0,['b'],['b']
b,q,['bj'],['bj']
b,d,['bj'],['bj']
b,u,['bj'],['bj']
b,l,['bl'],['bl']
b,nu,['bE'],['bE']
b,e,['bl'],['bl']
b,b_L,"['bb', 'tt']","['bb', 'tt']"
b,t_L,['tb'],['tb']
b,t,['tb'],['tb']
b,tau_L,['bT'],['bT']
b,nu_tau,['bE'],['bE']
b,tau,['bT'],['bT']
tau_L,B,['T'],['T']
tau_L,W^+,['E'],['E']
tau_L,W^0,['T'],['T']
tau_L,G,"['bbT', 'tbE', 'jjT', 'jjE', 'ttT']","['tbE', 'jjE', '(JJ)T']"
tau_L,H^+,"['vT', 'vE']","['vT', 'vE']"
tau_L,H^0,"['vT', 'vE']","['vT', 'vE']"
tau_L,q,"['jT', 'jE']","['jT', 'jE']"
tau_L,d,['jT'],['jT']
tau_L,u,['jT'],['jT']
tau_L,l,"['Tl', 'E']","['Tl', 'E']"
tau_L,nu,"['TE', 'lE']",['LE']
tau_L,e,['Tl'],['Tl']
tau_L,b_L,"['tE', 'bT']","['tE', 'bT']"
tau_L,t_L,"['tT', 'bE']","['tT', 'bE']"
tau_L,t,['tT'],['tT']
tau_L,b,['bT'],['bT']
tau_L,nu_tau,['TE'],['TE']
tau_L,tau,['TT'],['TT']
nu_tau,B,['E'],['E']
nu_tau,W^+,['T'],['T']
nu_tau,W^0,['E'],['E']
nu_tau,G,"['bbE', 'jjE', 'jjT', 'tbT', 'ttE']","['tbT', '(JJ)E', 'jjT']"
nu_tau,H^+,"['vT', 'vE']","['vT', 'vE']"
nu_tau,H^0,"['vT', 'vE']","['vT', 'vE']"
nu_tau,q,"['jT', 'jE']","['jT', 'jE']"
nu_tau,d,['jE'],['jE']
nu_tau,u,['jE'],['jE']
nu_tau,l,"['TE', 'lE']",['LE']
nu_tau,nu,"['Tl', 'E']","['Tl', 'E']"
nu_tau,e,['lE'],['lE']
nu_tau,b_L,"['tT', 'bE']","['tT', 'bE']"
nu_tau,t_L,"['tE', 'bT']","['tE', 'bT']"
nu_tau,t,['tE'],['tE']
nu_tau,b,['bE'],['bE']
nu_tau,tau_L,['TE'],['TE']
nu_tau,tau,['TE'],['TE']
tau,B,['T'],['T']
tau,W^+,"['TlE', 'TTE', 'jjT', 'tbT', 'vvT']","['tbT', 'LTE', 'vvT', 'jjT']"
tau,W^0,"['bbT', 'Tll', 'TTT', 'jjT', 'TE', 'vvT', 'ttT']","['TE', '(JJ)T', '(LL)T', 'vvT']"
tau,G,"['bbT', 'ttT', 'jjT']",['(JJ)T']
tau,H^+,['vT'],['vT']
tau,H^0,['vT'],['vT']
tau,q,['jT'],['jT']
tau,d,['jT'],['jT']
tau,u,['jT'],['jT']
tau,l,['Tl'],['Tl']
tau,nu,['TE'],['TE']
tau,e,['Tl'],['Tl']
tau,b_L,['bT'],['bT']
tau,t_L,['tT'],['tT']
tau,t,['tT'],['tT']
tau,b,['bT'],['bT']
tau,tau_L,['TT'],['TT']
tau,nu_tau,['TE'],['TE']
