Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
W^0,B,2,H^0,vv,W^0 -- (v) -- H^0 -- (v) -- B, 2v,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,q,jj,W^0 -- (j) -- q -- (j) -- B, 2j_l,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,l,ll,W^0 -- (l) -- l -- (l) -- B, 2l,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,nu,E,W^0 -- (E) -- nu -- (E) -- B, MET,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,b_L,bb,W^0 -- (b) -- b_L -- (b) -- B, 2b,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,t_L,tt,W^0 -- (t) -- t_L -- (t) -- B, 2t,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,tau_L,TT,W^0 -- (T) -- tau_L -- (T) -- B, 2tau,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,B,2,nu_tau,E,W^0 -- (E) -- nu_tau -- (E) -- B, MET,"{'bb', 'TT', 'vv', 'E', 'tt', 'jj', 'll'}","['vv', 'E', 'TT', 'll', 'bb', 'tt', 'jj']","[1, 1, 1, 1, 1, 1, 1]","['vv', 'E', '(LL)', '(JJ)']"
W^0,W^+,2,H^+,vv,W^0 -- (v) -- H^+ -- (v) -- W^+, 2v,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,H^0,vv,W^0 -- (v) -- H^0 -- (v) -- W^+, 2v,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,q,jj,W^0 -- (j) -- q -- (j) -- W^+, 2j_l,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,l,lE,W^0 -- (l) -- l -- (E) -- W^+, 1l + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,nu,lE,W^0 -- (E) -- nu -- (l) -- W^+, 1l + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,b_L,tb,W^0 -- (b) -- b_L -- (t) -- W^+, 1t + 1b,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,t_L,tb,W^0 -- (t) -- t_L -- (b) -- W^+, 1t + 1b,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,tau_L,TE,W^0 -- (T) -- tau_L -- (E) -- W^+, 1tau + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,W^+,2,nu_tau,TE,W^0 -- (E) -- nu_tau -- (T) -- W^+, 1tau + MET,"{'tb', 'vv', 'lE', 'jj', 'TE'}","['LE', 'vv', 'tb', 'jj']","[2, 1, 1, 1]","['LE', 'vv', 'tb', 'jj']"
W^0,G,2,q,jj,W^0 -- (j) -- q -- (j) -- G, 2j_l,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
W^0,G,2,b_L,bb,W^0 -- (b) -- b_L -- (b) -- G, 2b,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
W^0,G,2,t_L,tt,W^0 -- (t) -- t_L -- (t) -- G, 2t,"{'jj', 'tt', 'bb'}","['jj', 'tt', 'bb']","[1, 1, 1]",['(JJ)']
W^0,H^+,1,-,v,W^0 -- (v) -- H^+, 1v,{'v'},['v'],[1],['v']
W^0,H^0,1,-,v,W^0 -- (v) -- H^0, 1v,{'v'},['v'],[1],['v']
W^0,q,1,-,j,W^0 -- (j) -- q, 1j_l,{'j'},['j'],[1],['j']
W^0,d,3,H^+ B,vvj,W^0 -- (v) -- H^+ -- (v) -- B -- (j) -- d, 1j_l + 2v,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,H^0 B,vvj,W^0 -- (v) -- H^0 -- (v) -- B -- (j) -- d, 1j_l + 2v,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,q B,jjj,W^0 -- (j) -- q -- (j) -- B -- (j) -- d, 3j_l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,q G,jjj,W^0 -- (j) -- q -- (j) -- G -- (j) -- d, 3j_l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,l B,jll,W^0 -- (l) -- l -- (l) -- B -- (j) -- d, 1j_l + 2l,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,nu B,jE,W^0 -- (E) -- nu -- (E) -- B -- (j) -- d, 1j_l + MET,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,b_L B,bbj,W^0 -- (b) -- b_L -- (b) -- B -- (j) -- d, 1j_l + 2b,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
W^0,d,3,b_L G,bbj,W^0 -- (b) -- b_L -- (b) -- G -- (j) -- d, 1j_l + 2b,"{'jE', 'jjj', 'vvj', 'ttj', 'jTT', 'jll', 'bbj'}","['jE', 'vvj', 'jTT', 'jll', 'jjj', 'ttj', 'bbj']","[1, 1, 1, 1, 1, 1, 1]","['jE', 'vvj', '(LL)j', '(JJ)j']"
