Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,H^+,nu_tau,vTTl,"H^+ -- (v) -- W^+ -- (T) -- nu_tau -- [l,T]",2, 1l + 2tau + 1v
L_3 L E_3,H^+,nu_tau,vTlE,"H^+ -- (v) -- B -- (E) -- nu_tau -- [l,T]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^+,tau,vTlE,"H^+ -- (v) -- B -- (T) -- tau -- [l,E]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^+,tau_L,vTTE,"H^+ -- (v) -- B -- (T) -- tau_L -- [E,T]",2, 2tau + 1v + MET
L_3 L E_3,H^+,tau_L,vTE,"H^+ -- (v) -- W^+ -- (E) -- tau_L -- [E,T]",2, 1tau + 1v + MET
L_3 L E_3,H^+,nu,vTTE,"H^+ -- (v) -- B -- (E) -- nu -- [T,T]",2, 2tau + 1v + MET
L_3 L E_3,H^+,nu,vTTl,"H^+ -- (v) -- W^+ -- (l) -- nu -- [T,T]",2, 1l + 2tau + 1v
L_3 L E_3,H^+,tau,vTTE,"H^+ -- (v) -- B -- (T) -- tau -- [T,E]",2, 2tau + 1v + MET
L L E,H^0,l,vlE,"H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]",2, 1l + 1v + MET
L L E,H^0,l,vllE,"H^0 -- (v) -- B -- (l) -- l -- [E,l]",2, 2l + 1v + MET
L L E,H^0,nu,vllE,"H^0 -- (v) -- B -- (E) -- nu -- [l,l]",2, 2l + 1v + MET
L L E,H^0,nu,vlll,"H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]",2, 3l + 1v
L L E,H^0,e,vllE,"H^0 -- (v) -- B -- (l) -- e -- [l,E]",2, 2l + 1v + MET
L_3 L E,H^0,l,vlE,"H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]",2, 1l + 1v + MET
L_3 L E,H^0,l,vllE,"H^0 -- (v) -- B -- (l) -- l -- [E,l]",2, 2l + 1v + MET
L_3 L E,H^0,nu_tau,vTll,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [l,l]",2, 2l + 1tau + 1v
L_3 L E,H^0,nu_tau,vllE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [l,l]",2, 2l + 1v + MET
L_3 L E,H^0,e,vllE,"H^0 -- (v) -- B -- (l) -- e -- [l,E]",2, 2l + 1v + MET
L_3 L E,H^0,tau_L,vTlE,"H^0 -- (v) -- B -- (T) -- tau_L -- [E,l]",2, 1l + 1tau + 1v + MET
L_3 L E,H^0,tau_L,vlE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [E,l]",2, 1l + 1v + MET
L_3 L E,H^0,nu,vTlE,"H^0 -- (v) -- B -- (E) -- nu -- [T,l]",2, 1l + 1tau + 1v + MET
L_3 L E,H^0,nu,vTll,"H^0 -- (v) -- W^+ -- (l) -- nu -- [T,l]",2, 2l + 1tau + 1v
L_3 L E,H^0,e,vTlE,"H^0 -- (v) -- B -- (l) -- e -- [T,E]",2, 1l + 1tau + 1v + MET
L L E_3,H^0,l,vTE,"H^0 -- (v) -- W^+ -- (E) -- l -- [E,T]",2, 1tau + 1v + MET
L L E_3,H^0,l,vTlE,"H^0 -- (v) -- B -- (l) -- l -- [E,T]",2, 1l + 1tau + 1v + MET
L L E_3,H^0,nu,vTlE,"H^0 -- (v) -- B -- (E) -- nu -- [l,T]",2, 1l + 1tau + 1v + MET
L L E_3,H^0,nu,vTll,"H^0 -- (v) -- W^+ -- (l) -- nu -- [l,T]",2, 2l + 1tau + 1v
L L E_3,H^0,tau,vTlE,"H^0 -- (v) -- B -- (T) -- tau -- [l,E]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,l,vTE,"H^0 -- (v) -- W^+ -- (E) -- l -- [E,T]",2, 1tau + 1v + MET
L_3 L E_3,H^0,l,vTlE,"H^0 -- (v) -- B -- (l) -- l -- [E,T]",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,nu_tau,vTTl,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [l,T]",2, 1l + 2tau + 1v
