CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
L_3 L E,"['l', 'nu']","{'llE', 'LlllE', 'LLllllE'}","{'LLlllE', 'LTlllllE', 'LllE'}","{'TTllllll', 'TTll', 'TTllll', 'LLllE', 'LTllllE'}","{'TTllllll', 'TTll', 'TTllll', 'LLllllE', 'LLllE', 'LLlllE', 'LTlllllE', 'LllE', 'llE'}",llE,llE,ll,ll,"['LLllllE', 'llE', 'LlllE']","['LLlllE', 'LTlllllE', 'LllE']","['TTll', 'TTllllll', 'TTllll', 'LLllE', 'LTllllE']","['TTll', 'LllE', 'TTllllll', 'TTllll', 'LTlllllE', 'LLllE', 'LLlllE', 'llE', 'LLllllE']"
L_3 L E,['e'],"{'LLE', 'LLllllE', 'LLllE'}",-,-,"{'LLE', 'LLllllE', 'LLllE'}",E,-,-,E,"['LLE', 'LLllllE', 'LLllE']",-,-,"['LLE', 'LLllllE', 'LLllE']"
L_3 L E,"['b_L', 't_L']","{'tbLllE', 'ttllE', 'tbLTlllE', 'ttTTllll', 'ttTlllE', 'bbLLllE'}","{'ttLTlllE', 'tbTTllll', 'bbLllE', 'bbLTlllE', 'tbLLllE', 'tbllE', 'ttLllE'}","{'tbLllE', 'bbTTllll', 'ttLLllE', 'bbllE', 'tbLTlllE', 'bbTlllE'}","{'33LLllE', '33llE', '33LTlllE', '33TTllll', '33LllE'}",ll,ll,ll,ll,"['tbLTlllE', 'tbLllE', 'ttllE', 'ttTTllll', 'ttTlllE', 'bbLLllE']","['ttLTlllE', 'bbLTlllE', 'bbLllE', 'ttLllE', 'tbllE', 'tbTTllll', 'tbLLllE']","['tbLTlllE', 'tbLllE', 'bbllE', 'bbTTllll', 'ttLLllE', 'bbTlllE']","['33LTlllE', '33LllE', '33llE', '33TTllll', '33LLllE']"
L_3 L E,['t'],{'ttLLllE'},-,-,{'ttLLllE'},ttEll,-,-,ttEll,['ttLLllE'],-,-,['ttLLllE']
L_3 L E,['b'],{'bbLLllE'},-,-,{'bbLLllE'},llbbE,-,-,llbbE,['bbLLllE'],-,-,['bbLLllE']
L_3 L E,"['tau_L', 'nu_tau']","{'llE', 'LLTTllE', 'LTllE'}","{'LTTTlllE', 'LllE', 'LLTllE'}","{'TTllll', 'LLllE', 'TTTTllll', 'LTTlllE', 'llll'}","{'TTllll', 'LLTTllE', 'LLllE', 'TTTTllll', 'LLTllE', 'LllE', 'LTTTlllE', 'llE', 'llll'}",llE,llE,ll,ll,"['llE', 'LLTTllE', 'LTllE']","['LLTllE', 'LTTTlllE', 'LllE']","['llll', 'TTTTllll', 'TTllll', 'LLllE', 'LTTlllE']","['llll', 'LllE', 'TTTTllll', 'TTllll', 'LTTTlllE', 'LLllE', 'LLTllE', 'llE', 'LLTTllE']"
L_3 L E,['tau'],{'LLTTllE'},-,-,{'LLTTllE'},llETT,-,-,llETT,['LLTTllE'],-,-,['LLTTllE']
L L E_3,['B'],{'TTllE'},-,-,{'TTllE'},llETT,-,-,llETT,['TTllE'],-,-,['TTllE']
L L E_3,"['W^+', 'W^0']","{'TTE', 'TTllll', 'tbTTlE', 'tbjjTTllE', 'vvTTlE', 'jjjjTTllE', 'LLTTllE', 'LTTlE', 'vvvvTTllE', 'ttbbTTllE', 'vvjjTTllE', 'tbLTTllE', 'vvtbTTllE', 'vvLTTllE', 'jjTTlE', 'jjLTTllE'}","{'vvTTlE', 'jjTTllllE', 'tttbTTllE', 'vvvvTTllE', 'vvjjTTllE', 'vvTTllE', 'vvTTllllE', 'vvTTTTllE', 'jjTTllE', 'tbTTllE', 'vvLTTllE', 'vv33TTllE', 'jjTTlE', 'bbLTTllE', 'jjTTTTllE', 'bbTTlE', 'LLTTlE', '33jjTTllE', 'LLLTTllE', 'tbTTllllE', 'jjLTTllE', 'jjjjTTllE', 'ttTTlE', 'TTlE', 'tbbbTTllE', 'ttLTTllE', 'tbTTTTllE'}","{'jjTTllllE', 'vvvvTTllE', 'bbbbTTllE', 'vvjjTTllE', 'vvTTllE', 'vvTTllllE', 'vvTTTTllE', 'jjTTllE', 'ttttTTllE', 'vvbbTTllE', 'TTTTTTllE', 'bbjjTTllE', 'bbTTllE', 'TTllllllE', 'ttTTllllE', 'ttTTTTllE', 'vvttTTllE', 'jjTTTTllE', 'ttbbTTllE', 'ttTTllE', 'bbTTllllE', 'ttjjTTllE', 'TTllllE', 'TTTTllE', 'jjjjTTllE', 'TTllE', 'TTTTllllE', 'bbTTTTllE'}","{'vvTTlE', 'jjTTllllE', 'LTTlE', 'vvvvTTllE', '33TTllllE', '33LTTllE', 'vvjjTTllE', 'vvTTllE', 'vvTTllllE', 'TTE', 'jjTTllE', 'LLTTllE', 'vvTTTTllE', 'TTTTTTllE', 'vvLTTllE', 'TTllllllE', 'vv33TTllE', 'jjTTlE', 'TTllll', '33TTTTllE', 'jjTTTTllE', '33TTlE', 'LLTTlE', '33jjTTllE', 'LLLTTllE', 'jjLTTllE', 'jjjjTTllE', 'TTlE', '33TTllE', 'TTTTllllE', '3333TTllE'}",TT,TTlE,TTllE,TT,"['jjvvTTllE', 'tbvvTTllE', 'tbLTTllE', 'jjLTTllE', 'tbTTlE', 'jjTTlE', 'TTllll', 'tbjjTTllE', 'jjjjTTllE', 'ttbbTTllE', 'LTTlE', 'vvTTlE', 'TTE', 'vvLTTllE', 'LLTTllE', 'vvvvTTllE']","['(JJ)vvTTllE', 'TTlE', 'vvTTllE', '(JJ)LTTllE', '(JJ)TTlE', 'LLLTTllE', 'tttbTTllE', '33jjTTllE', 'jjjjTTllE', 'tbbbTTllE', 'LLTTlE', 'vvTTlE', '(LL)vvTTllE', 'vvLTTllE', 'jjTTllE', 'tbTTllE', 'jjllTTllE', 'jjTTTTllE', 'tbllTTllE', 'tbTTTTllE', 'vvvvTTllE']","['(JJ)vvTTllE', 'TTTTTTllE', 'llllTTllE', 'TTllTTllE', 'vvTTllE', 'bbbbTTllE', 'ttttTTllE', 'bbjjTTllE', 'ttbbTTllE', 'ttjjTTllE', 'jjjjTTllE', 'TTllE', '(LL)vvTTllE', '(JJ)TTllE', 'jjllTTllE', 'ttllTTllE', 'ttTTTTllE', 'jjTTTTllE', 'bbllTTllE', 'bbTTTTllE', '(LL)TTllE', 'vvvvTTllE']","['TTTTTTllE', 'llllTTllE', 'TTllTTllE', 'TTllll', 'LLLTTllE', 'vvLTTllE', 'TTE', '(JJ)TTllE', 'LLTTllE', 'vvvvTTllE', '(JJ)vvTTllE', '(JJ)LTTllE', '33jjTTllE', 'jjjjTTllE', '3333TTllE', 'LLTTlE', 'vvTTlE', '(LL)vvTTllE', 'jjllTTllE', '33llTTllE', '33TTTTllE', 'jjTTTTllE', 'vvTTllE', '(JJ)TTlE', 'TTlE', 'LTTlE']"
L L E_3,['G'],"{'jjjjTTlE', 'jjjjTTE', 'bbbbTTllE', 'tbjjTTE', 'ttttTTllE', 'ttbbTTllll', '33jjTTlE', '33jjTTlllE', 'tttbTTlE', 'tbjjTTllll', 'ttbbTTllE', 'jjjjTTllll', '33jjTTllE', 'tbbbTTlllE', 'jjjjTTlllE', 'tbbbTTlE', 'jjjjTTllE', 'tttbTTlllE', 'ttbbTTE'}",-,-,"{'jjjjTTlE', 'jjjjTTE', 'bbbbTTllE', 'tbjjTTE', 'ttttTTllE', 'ttbbTTllll', '33jjTTlE', '33jjTTlllE', 'tttbTTlE', 'tbjjTTllll', 'ttbbTTllE', 'jjjjTTllll', '33jjTTllE', 'tbbbTTlllE', 'jjjjTTlllE', 'tbbbTTlE', 'jjjjTTllE', 'tttbTTlllE', 'ttbbTTE'}",TT,-,-,TT,"['bbbbTTllE', 'ttttTTllE', 'ttbbTTllE', '33jjTTllE', 'jjjjTTllE', 'jjjjTTE', 'tbjjTTE', 'ttbbTTE', '33jjTTlllE', 'tbbbTTlllE', 'jjjjTTlllE', 'tttbTTlllE', 'jjjjTTlE', '33jjTTlE', 'tttbTTlE', 'tbbbTTlE', 'ttbbTTllll', 'tbjjTTllll', 'jjjjTTllll']",-,-,"['bbbbTTllE', 'ttttTTllE', 'ttbbTTllE', '33jjTTllE', 'jjjjTTllE', 'jjjjTTE', 'tbjjTTE', 'ttbbTTE', '33jjTTlllE', 'tbbbTTlllE', 'jjjjTTlllE', 'tttbTTlllE', 'jjjjTTlE', '33jjTTlE', 'tttbTTlE', 'tbbbTTlE', 'ttbbTTllll', 'tbjjTTllll', 'jjjjTTllll']"
