Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L Q_3 D_3,H^0,t_L,tbl,"H^0 -- (t) -- t_L -- [l,b]",1, 1t + 1b + 1l
L Q_3 D_3,H^0,b,tbl,"H^0 -- (b) -- b -- [l,t]",1, 1t + 1b + 1l
L Q_3 D_3,H^0,nu,vbbE,"H^0 -- (v) -- B -- (E) -- nu -- [b,b]",2, 2b + 1v + MET
L Q_3 D_3,H^0,nu,vbbl,"H^0 -- (v) -- W^+ -- (l) -- nu -- [b,b]",2, 2b + 1l + 1v
L Q_3 D_3,H^0,b_L,bbE,"H^0 -- (b) -- b_L -- [E,b]",1, 2b + MET
L Q_3 D_3,H^0,b,bbE,"H^0 -- (b) -- b -- [E,b]",1, 2b + MET
L_3 Q D,H^0,tau_L,vjjE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [j,j]",2, 2j_l + 1v + MET
L_3 Q D,H^0,tau_L,vjjT,"H^0 -- (v) -- B -- (T) -- tau_L -- [j,j]",2, 2j_l + 1tau + 1v
L_3 Q D,H^0,q,vjjT,"H^0 -- (v) -- B -- (j) -- q -- [T,j]",2, 2j_l + 1tau + 1v
L_3 Q D,H^0,d,vjjT,"H^0 -- (v) -- B -- (j) -- d -- [T,j]",2, 2j_l + 1tau + 1v
L_3 Q D,H^0,nu_tau,vjjE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [j,j]",2, 2j_l + 1v + MET
L_3 Q D,H^0,nu_tau,vjjT,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [j,j]",2, 2j_l + 1tau + 1v
L_3 Q D,H^0,q,vjjE,"H^0 -- (v) -- B -- (j) -- q -- [E,j]",2, 2j_l + 1v + MET
L_3 Q D,H^0,d,vjjE,"H^0 -- (v) -- B -- (j) -- d -- [E,j]",2, 2j_l + 1v + MET
L_3 Q D_3,H^0,tau_L,vbjE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [j,b]",2, 1j_l + 1b + 1v + MET
L_3 Q D_3,H^0,tau_L,vbjT,"H^0 -- (v) -- B -- (T) -- tau_L -- [j,b]",2, 1j_l + 1b + 1tau + 1v
L_3 Q D_3,H^0,q,vbjT,"H^0 -- (v) -- B -- (j) -- q -- [T,b]",2, 1j_l + 1b + 1tau + 1v
L_3 Q D_3,H^0,b,bjT,"H^0 -- (b) -- b -- [T,j]",1, 1j_l + 1b + 1tau
L_3 Q D_3,H^0,nu_tau,vbjE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [j,b]",2, 1j_l + 1b + 1v + MET
L_3 Q D_3,H^0,nu_tau,vbjT,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [j,b]",2, 1j_l + 1b + 1tau + 1v
L_3 Q D_3,H^0,q,vbjE,"H^0 -- (v) -- B -- (j) -- q -- [E,b]",2, 1j_l + 1b + 1v + MET
L_3 Q D_3,H^0,b,bjE,"H^0 -- (b) -- b -- [E,j]",1, 1j_l + 1b + MET
L_3 Q_3 D,H^0,tau_L,vtjE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [t,j]",2, 1j_l + 1t + 1v + MET
L_3 Q_3 D,H^0,tau_L,vtjT,"H^0 -- (v) -- B -- (T) -- tau_L -- [t,j]",2, 1j_l + 1t + 1tau + 1v
L_3 Q_3 D,H^0,t_L,tjT,"H^0 -- (t) -- t_L -- [T,j]",1, 1j_l + 1t + 1tau
L_3 Q_3 D,H^0,d,vtjT,"H^0 -- (v) -- B -- (j) -- d -- [T,t]",2, 1j_l + 1t + 1tau + 1v
L_3 Q_3 D,H^0,nu_tau,vbjE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [b,j]",2, 1j_l + 1b + 1v + MET
L_3 Q_3 D,H^0,nu_tau,vbjT,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [b,j]",2, 1j_l + 1b + 1tau + 1v
L_3 Q_3 D,H^0,b_L,bjE,"H^0 -- (b) -- b_L -- [E,j]",1, 1j_l + 1b + MET
L_3 Q_3 D,H^0,d,vbjE,"H^0 -- (v) -- B -- (j) -- d -- [E,b]",2, 1j_l + 1b + 1v + MET
L_3 Q_3 D_3,H^0,tau_L,vtbE,"H^0 -- (v) -- W^+ -- (E) -- tau_L -- [t,b]",2, 1t + 1b + 1v + MET
L_3 Q_3 D_3,H^0,tau_L,vtbT,"H^0 -- (v) -- B -- (T) -- tau_L -- [t,b]",2, 1t + 1b + 1tau + 1v
L_3 Q_3 D_3,H^0,t_L,tbT,"H^0 -- (t) -- t_L -- [T,b]",1, 1t + 1b + 1tau
L_3 Q_3 D_3,H^0,b,tbT,"H^0 -- (b) -- b -- [T,t]",1, 1t + 1b + 1tau
L_3 Q_3 D_3,H^0,nu_tau,vbbE,"H^0 -- (v) -- B -- (E) -- nu_tau -- [b,b]",2, 2b + 1v + MET
L_3 Q_3 D_3,H^0,nu_tau,vbbT,"H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [b,b]",2, 2b + 1tau + 1v
L_3 Q_3 D_3,H^0,b_L,bbE,"H^0 -- (b) -- b_L -- [E,b]",1, 2b + MET
L_3 Q_3 D_3,H^0,b,bbE,"H^0 -- (b) -- b -- [E,b]",1, 2b + MET
L Q D,q,l,jjjE,"q -- (j) -- W^+ -- (E) -- l -- [j,j]",2, 3j_l + MET
L Q D,q,l,jjjl,"q -- (j) -- B -- (l) -- l -- [j,j]",2, 3j_l + 1l
L Q D,q,q,jl,"q -- [l,j]",0, 1j_l + 1l
L Q D,q,d,jjjl,"q -- (j) -- B -- (j) -- d -- [l,j]",2, 3j_l + 1l
L Q D,q,nu,jjjE,"q -- (j) -- B -- (E) -- nu -- [j,j]",2, 3j_l + MET
L Q D,q,nu,jjjl,"q -- (j) -- W^+ -- (l) -- nu -- [j,j]",2, 3j_l + 1l
L Q D,q,q,jE,"q -- [E,j]",0, 1j_l + MET
L Q D,q,d,jjjE,"q -- (j) -- B -- (j) -- d -- [E,j]",2, 3j_l + MET
L Q D_3,q,l,bjjE,"q -- (j) -- W^+ -- (E) -- l -- [j,b]",2, 2j_l + 1b + MET
L Q D_3,q,l,bjjl,"q -- (j) -- B -- (l) -- l -- [j,b]",2, 2j_l + 1b + 1l
L Q D_3,q,q,bl,"q -- [l,b]",0, 1b + 1l
L Q D_3,q,b,bjjl,"q -- (j) -- B -- (b) -- b -- [l,j]",2, 2j_l + 1b + 1l
L Q D_3,q,nu,bjjE,"q -- (j) -- B -- (E) -- nu -- [j,b]",2, 2j_l + 1b + MET
L Q D_3,q,nu,bjjl,"q -- (j) -- W^+ -- (l) -- nu -- [j,b]",2, 2j_l + 1b + 1l
L Q D_3,q,q,bE,"q -- [E,b]",0, 1b + MET
L Q D_3,q,b,bjjE,"q -- (j) -- B -- (b) -- b -- [E,j]",2, 2j_l + 1b + MET
L Q_3 D,q,l,tjjE,"q -- (j) -- W^+ -- (E) -- l -- [t,j]",2, 2j_l + 1t + MET
L Q_3 D,q,l,tjjl,"q -- (j) -- B -- (l) -- l -- [t,j]",2, 2j_l + 1t + 1l
L Q_3 D,q,t_L,bjjl,"q -- (j) -- W^+ -- (b) -- t_L -- [l,j]",2, 2j_l + 1b + 1l
L Q_3 D,q,t_L,tjjl,"q -- (j) -- B -- (t) -- t_L -- [l,j]",2, 2j_l + 1t + 1l
L Q_3 D,q,d,tjjl,"q -- (j) -- B -- (j) -- d -- [l,t]",2, 2j_l + 1t + 1l
L Q_3 D,q,nu,bjjE,"q -- (j) -- B -- (E) -- nu -- [b,j]",2, 2j_l + 1b + MET
L Q_3 D,q,nu,bjjl,"q -- (j) -- W^+ -- (l) -- nu -- [b,j]",2, 2j_l + 1b + 1l
L Q_3 D,q,b_L,bjjE,"q -- (j) -- B -- (b) -- b_L -- [E,j]",2, 2j_l + 1b + MET
L Q_3 D,q,b_L,tjjE,"q -- (j) -- W^+ -- (t) -- b_L -- [E,j]",2, 2j_l + 1t + MET
L Q_3 D,q,d,bjjE,"q -- (j) -- B -- (j) -- d -- [E,b]",2, 2j_l + 1b + MET
L Q_3 D_3,q,l,tbjE,"q -- (j) -- W^+ -- (E) -- l -- [t,b]",2, 1j_l + 1t + 1b + MET
L Q_3 D_3,q,l,tbjl,"q -- (j) -- B -- (l) -- l -- [t,b]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,q,t_L,bbjl,"q -- (j) -- W^+ -- (b) -- t_L -- [l,b]",2, 1j_l + 2b + 1l
L Q_3 D_3,q,t_L,tbjl,"q -- (j) -- B -- (t) -- t_L -- [l,b]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,q,b,tbjl,"q -- (j) -- B -- (b) -- b -- [l,t]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,q,nu,bbjE,"q -- (j) -- B -- (E) -- nu -- [b,b]",2, 1j_l + 2b + MET
L Q_3 D_3,q,nu,bbjl,"q -- (j) -- W^+ -- (l) -- nu -- [b,b]",2, 1j_l + 2b + 1l
L Q_3 D_3,q,b_L,bbjE,"q -- (j) -- B -- (b) -- b_L -- [E,b]",2, 1j_l + 2b + MET
L Q_3 D_3,q,b_L,tbjE,"q -- (j) -- W^+ -- (t) -- b_L -- [E,b]",2, 1j_l + 1t + 1b + MET
L Q_3 D_3,q,b,bbjE,"q -- (j) -- B -- (b) -- b -- [E,b]",2, 1j_l + 2b + MET
L_3 Q D,q,tau_L,jjjT,"q -- (j) -- B -- (T) -- tau_L -- [j,j]",2, 3j_l + 1tau
L_3 Q D,q,tau_L,jjjE,"q -- (j) -- W^+ -- (E) -- tau_L -- [j,j]",2, 3j_l + MET
L_3 Q D,q,q,jT,"q -- [T,j]",0, 1j_l + 1tau
L_3 Q D,q,d,jjjT,"q -- (j) -- B -- (j) -- d -- [T,j]",2, 3j_l + 1tau
L_3 Q D,q,nu_tau,jjjT,"q -- (j) -- W^+ -- (T) -- nu_tau -- [j,j]",2, 3j_l + 1tau
L_3 Q D,q,nu_tau,jjjE,"q -- (j) -- B -- (E) -- nu_tau -- [j,j]",2, 3j_l + MET
L_3 Q D,q,q,jE,"q -- [E,j]",0, 1j_l + MET
L_3 Q D,q,d,jjjE,"q -- (j) -- B -- (j) -- d -- [E,j]",2, 3j_l + MET
L_3 Q D_3,q,tau_L,bjjT,"q -- (j) -- B -- (T) -- tau_L -- [j,b]",2, 2j_l + 1b + 1tau
L_3 Q D_3,q,tau_L,bjjE,"q -- (j) -- W^+ -- (E) -- tau_L -- [j,b]",2, 2j_l + 1b + MET
L_3 Q D_3,q,q,bT,"q -- [T,b]",0, 1b + 1tau
L_3 Q D_3,q,b,bjjT,"q -- (j) -- B -- (b) -- b -- [T,j]",2, 2j_l + 1b + 1tau
L_3 Q D_3,q,nu_tau,bjjT,"q -- (j) -- W^+ -- (T) -- nu_tau -- [j,b]",2, 2j_l + 1b + 1tau
L_3 Q D_3,q,nu_tau,bjjE,"q -- (j) -- B -- (E) -- nu_tau -- [j,b]",2, 2j_l + 1b + MET
L_3 Q D_3,q,q,bE,"q -- [E,b]",0, 1b + MET
L_3 Q D_3,q,b,bjjE,"q -- (j) -- B -- (b) -- b -- [E,j]",2, 2j_l + 1b + MET
L_3 Q_3 D,q,tau_L,tjjT,"q -- (j) -- B -- (T) -- tau_L -- [t,j]",2, 2j_l + 1t + 1tau
L_3 Q_3 D,q,tau_L,tjjE,"q -- (j) -- W^+ -- (E) -- tau_L -- [t,j]",2, 2j_l + 1t + MET
L_3 Q_3 D,q,t_L,bjjT,"q -- (j) -- W^+ -- (b) -- t_L -- [T,j]",2, 2j_l + 1b + 1tau
L_3 Q_3 D,q,t_L,tjjT,"q -- (j) -- B -- (t) -- t_L -- [T,j]",2, 2j_l + 1t + 1tau
L_3 Q_3 D,q,d,tjjT,"q -- (j) -- B -- (j) -- d -- [T,t]",2, 2j_l + 1t + 1tau
L_3 Q_3 D,q,nu_tau,bjjT,"q -- (j) -- W^+ -- (T) -- nu_tau -- [b,j]",2, 2j_l + 1b + 1tau
L_3 Q_3 D,q,nu_tau,bjjE,"q -- (j) -- B -- (E) -- nu_tau -- [b,j]",2, 2j_l + 1b + MET
L_3 Q_3 D,q,b_L,bjjE,"q -- (j) -- B -- (b) -- b_L -- [E,j]",2, 2j_l + 1b + MET
L_3 Q_3 D,q,b_L,tjjE,"q -- (j) -- W^+ -- (t) -- b_L -- [E,j]",2, 2j_l + 1t + MET
L_3 Q_3 D,q,d,bjjE,"q -- (j) -- B -- (j) -- d -- [E,b]",2, 2j_l + 1b + MET
L_3 Q_3 D_3,q,tau_L,tbjT,"q -- (j) -- B -- (T) -- tau_L -- [t,b]",2, 1j_l + 1t + 1b + 1tau
L_3 Q_3 D_3,q,tau_L,tbjE,"q -- (j) -- W^+ -- (E) -- tau_L -- [t,b]",2, 1j_l + 1t + 1b + MET
L_3 Q_3 D_3,q,t_L,bbjT,"q -- (j) -- W^+ -- (b) -- t_L -- [T,b]",2, 1j_l + 2b + 1tau
L_3 Q_3 D_3,q,t_L,tbjT,"q -- (j) -- B -- (t) -- t_L -- [T,b]",2, 1j_l + 1t + 1b + 1tau
L_3 Q_3 D_3,q,b,tbjT,"q -- (j) -- B -- (b) -- b -- [T,t]",2, 1j_l + 1t + 1b + 1tau
L_3 Q_3 D_3,q,nu_tau,bbjT,"q -- (j) -- W^+ -- (T) -- nu_tau -- [b,b]",2, 1j_l + 2b + 1tau
L_3 Q_3 D_3,q,nu_tau,bbjE,"q -- (j) -- B -- (E) -- nu_tau -- [b,b]",2, 1j_l + 2b + MET
L_3 Q_3 D_3,q,b_L,bbjE,"q -- (j) -- B -- (b) -- b_L -- [E,b]",2, 1j_l + 2b + MET
L_3 Q_3 D_3,q,b_L,tbjE,"q -- (j) -- W^+ -- (t) -- b_L -- [E,b]",2, 1j_l + 1t + 1b + MET
L_3 Q_3 D_3,q,b,bbjE,"q -- (j) -- B -- (b) -- b -- [E,b]",2, 1j_l + 2b + MET
L Q D,d,l,jjjl,"d -- (j) -- B -- (l) -- l -- [j,j]",2, 3j_l + 1l
L Q D,d,q,jjjl,"d -- (j) -- B -- (j) -- q -- [l,j]",2, 3j_l + 1l
L Q D,d,d,jl,"d -- [l,j]",0, 1j_l + 1l
L Q D,d,nu,jjjE,"d -- (j) -- B -- (E) -- nu -- [j,j]",2, 3j_l + MET
L Q D,d,q,jjjE,"d -- (j) -- B -- (j) -- q -- [E,j]",2, 3j_l + MET
L Q D,d,d,jE,"d -- [E,j]",0, 1j_l + MET
L Q D_3,d,l,bjjl,"d -- (j) -- B -- (l) -- l -- [j,b]",2, 2j_l + 1b + 1l
L Q D_3,d,q,bjjl,"d -- (j) -- B -- (j) -- q -- [l,b]",2, 2j_l + 1b + 1l
L Q D_3,d,b,bjjl,"d -- (j) -- B -- (b) -- b -- [l,j]",2, 2j_l + 1b + 1l
L Q D_3,d,nu,bjjE,"d -- (j) -- B -- (E) -- nu -- [j,b]",2, 2j_l + 1b + MET
L Q D_3,d,q,bjjE,"d -- (j) -- B -- (j) -- q -- [E,b]",2, 2j_l + 1b + MET
L Q D_3,d,b,bjjE,"d -- (j) -- B -- (b) -- b -- [E,j]",2, 2j_l + 1b + MET
L Q_3 D,d,l,tjjl,"d -- (j) -- B -- (l) -- l -- [t,j]",2, 2j_l + 1t + 1l
L Q_3 D,d,t_L,tjjl,"d -- (j) -- B -- (t) -- t_L -- [l,j]",2, 2j_l + 1t + 1l
L Q_3 D,d,d,tl,"d -- [l,t]",0, 1t + 1l
L Q_3 D,d,nu,bjjE,"d -- (j) -- B -- (E) -- nu -- [b,j]",2, 2j_l + 1b + MET
L Q_3 D,d,b_L,bjjE,"d -- (j) -- B -- (b) -- b_L -- [E,j]",2, 2j_l + 1b + MET
L Q_3 D,d,d,bE,"d -- [E,b]",0, 1b + MET
L Q_3 D_3,d,l,tbjl,"d -- (j) -- B -- (l) -- l -- [t,b]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,d,t_L,tbjl,"d -- (j) -- B -- (t) -- t_L -- [l,b]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,d,b,tbjl,"d -- (j) -- B -- (b) -- b -- [l,t]",2, 1j_l + 1t + 1b + 1l
L Q_3 D_3,d,nu,bbjE,"d -- (j) -- B -- (E) -- nu -- [b,b]",2, 1j_l + 2b + MET
L Q_3 D_3,d,b_L,bbjE,"d -- (j) -- B -- (b) -- b_L -- [E,b]",2, 1j_l + 2b + MET
L Q_3 D_3,d,b,bbjE,"d -- (j) -- B -- (b) -- b -- [E,b]",2, 1j_l + 2b + MET
L_3 Q D,d,tau_L,jjjT,"d -- (j) -- B -- (T) -- tau_L -- [j,j]",2, 3j_l + 1tau
L_3 Q D,d,q,jjjT,"d -- (j) -- B -- (j) -- q -- [T,j]",2, 3j_l + 1tau
L_3 Q D,d,d,jT,"d -- [T,j]",0, 1j_l + 1tau
L_3 Q D,d,nu_tau,jjjE,"d -- (j) -- B -- (E) -- nu_tau -- [j,j]",2, 3j_l + MET
L_3 Q D,d,q,jjjE,"d -- (j) -- B -- (j) -- q -- [E,j]",2, 3j_l + MET
L_3 Q D,d,d,jE,"d -- [E,j]",0, 1j_l + MET
L_3 Q D_3,d,tau_L,bjjT,"d -- (j) -- B -- (T) -- tau_L -- [j,b]",2, 2j_l + 1b + 1tau
L_3 Q D_3,d,q,bjjT,"d -- (j) -- B -- (j) -- q -- [T,b]",2, 2j_l + 1b + 1tau
