CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D,b,b,jj,jj,"['b -- [j,j]']","['b -- [j,j]']",jjjj, 2j_l, 2j_l, 4j_l
U D_3 D,tau_L,tau_L,bjjT,bjjT,"['tau_L -- (T) -- B -- (j) -- u -- [j,b]', 'tau_L -- (T) -- B -- (j) -- d -- [j,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,j]']","['tau_L -- (T) -- B -- (j) -- u -- [j,b]', 'tau_L -- (T) -- B -- (j) -- d -- [j,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,j]']",bbjjjjTT, 2j_l + 1b + 1tau, 2j_l + 1b + 1tau, 4j_l + 2b + 2tau
U D_3 D,tau_L,nu_tau,bjjT,bjjX,"['tau_L -- (T) -- B -- (j) -- u -- [j,b]', 'tau_L -- (T) -- B -- (j) -- d -- [j,b]', 'tau_L -- (T) -- B -- (b) -- b -- [j,j]']","['nu_tau -- (X) -- B -- (j) -- u -- [j,b]', 'nu_tau -- (X) -- B -- (j) -- d -- [j,b]', 'nu_tau -- (X) -- B -- (b) -- b -- [j,j]']",bbjjjjTX, 2j_l + 1b + 1tau, 2j_l + 1b + MET, 4j_l + 2b + 1tau + MET
U D_3 D,nu_tau,nu_tau,bjjX,bjjX,"['nu_tau -- (X) -- B -- (j) -- u -- [j,b]', 'nu_tau -- (X) -- B -- (j) -- d -- [j,b]', 'nu_tau -- (X) -- B -- (b) -- b -- [j,j]']","['nu_tau -- (X) -- B -- (j) -- u -- [j,b]', 'nu_tau -- (X) -- B -- (j) -- d -- [j,b]', 'nu_tau -- (X) -- B -- (b) -- b -- [j,j]']",bbjjjjX, 2j_l + 1b + MET, 2j_l + 1b + MET, 4j_l + 2b + MET
U D_3 D,tau,tau,bjjT,bjjT,"['tau -- (T) -- B -- (j) -- u -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,j]']","['tau -- (T) -- B -- (j) -- u -- [j,b]', 'tau -- (T) -- B -- (j) -- d -- [j,b]', 'tau -- (T) -- B -- (b) -- b -- [j,j]']",bbjjjjTT, 2j_l + 1b + 1tau, 2j_l + 1b + 1tau, 4j_l + 2b + 2tau
U D_3 D_3,B,B,bbj,bbj,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]']","['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]']",bbbbjj, 1j_l + 2b, 1j_l + 2b, 2j_l + 4b
U D_3 D_3,W^+,W^+,bbjjj,bbjjj,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",bbbbjjjjjj, 3j_l + 2b, 3j_l + 2b, 6j_l + 4b
U D_3 D_3,W^+,W^+,bbjjj,bbjTX,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",bbbbjjjjTX, 3j_l + 2b, 1j_l + 2b + 1tau + MET, 4j_l + 4b + 1tau + MET
U D_3 D_3,W^+,W^+,bbjjj,vtbj,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vtbbbjjjj, 3j_l + 2b, 1j_l + 1t + 1b + 1v, 4j_l + 1t + 3b + 1v
U D_3 D_3,W^+,W^+,bbjjj,vbbj,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vbbbbjjjj, 3j_l + 2b, 1j_l + 2b + 1v, 4j_l + 4b + 1v
U D_3 D_3,W^+,W^+,bbjjj,vvbbj,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvbbbbjjjj, 3j_l + 2b, 1j_l + 2b + 2v, 4j_l + 4b + 2v
U D_3 D_3,W^+,W^+,bbjjj,bbjlX,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",bbbbjjjjlX, 3j_l + 2b, 1j_l + 2b + 1l + MET, 4j_l + 4b + 1l + MET
U D_3 D_3,W^+,W^+,bbjjj,tbbbj,"['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",tbbbbbjjjj, 3j_l + 2b, 1j_l + 1t + 3b, 4j_l + 1t + 5b
U D_3 D_3,W^+,W^+,bbjTX,bbjjj,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- u -- [b,b]']",bbbbjjjjTX, 1j_l + 2b + 1tau + MET, 3j_l + 2b, 4j_l + 4b + 1tau + MET
U D_3 D_3,W^+,W^+,bbjTX,bbjTX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']",bbbbjjTTX, 1j_l + 2b + 1tau + MET, 1j_l + 2b + 1tau + MET, 2j_l + 4b + 2tau + MET
U D_3 D_3,W^+,W^+,bbjTX,vtbj,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (t) -- b -- [j,b]']",vtbbbjjTX, 1j_l + 2b + 1tau + MET, 1j_l + 1t + 1b + 1v, 2j_l + 1t + 3b + 1tau + 1v + MET
U D_3 D_3,W^+,W^+,bbjTX,vbbj,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^0 -- (b) -- b -- [j,b]']",vbbbbjjTX, 1j_l + 2b + 1tau + MET, 1j_l + 2b + 1v, 2j_l + 4b + 1tau + 1v + MET
U D_3 D_3,W^+,W^+,bbjTX,vvbbj,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- u -- [b,b]']",vvbbbbjjTX, 1j_l + 2b + 1tau + MET, 1j_l + 2b + 2v, 2j_l + 4b + 1tau + 2v + MET
U D_3 D_3,W^+,W^+,bbjTX,bbjlX,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- u -- [b,b]']",bbbbjjTlX, 1j_l + 2b + 1tau + MET, 1j_l + 2b + 1l + MET, 2j_l + 4b + 1l + 1tau + MET
U D_3 D_3,W^+,W^+,bbjTX,tbbbj,"['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- u -- [b,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- u -- [b,b]']",tbbbbbjjTX, 1j_l + 2b + 1tau + MET, 1j_l + 1t + 3b, 2j_l + 1t + 5b + 1tau + MET
