Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
u,H^+,2,B,vj,u -- (j) -- B -- (v) -- H^+, 1j_l + 1v,{'vj'},['vj'],[1],['vj']
u,H^0,2,B,vj,u -- (j) -- B -- (v) -- H^0, 1j_l + 1v,{'vj'},['vj'],[1],['vj']
u,q,2,B,jj,u -- (j) -- B -- (j) -- q, 2j_l,{'jj'},['jj'],[1],['jj']
u,q,2,G,jj,u -- (j) -- G -- (j) -- q, 2j_l,{'jj'},['jj'],[1],['jj']
u,d,2,B,jj,u -- (j) -- B -- (j) -- d, 2j_l,{'jj'},['jj'],[1],['jj']
u,d,2,G,jj,u -- (j) -- G -- (j) -- d, 2j_l,{'jj'},['jj'],[1],['jj']
u,l,2,B,jl,u -- (j) -- B -- (l) -- l, 1j_l + 1l,{'jl'},['jl'],[1],['jl']
u,nu,2,B,jX,u -- (j) -- B -- (X) -- nu, 1j_l + MET,{'jX'},['jX'],[1],['jX']
u,e,2,B,jl,u -- (j) -- B -- (l) -- e, 1j_l + 1l,{'jl'},['jl'],[1],['jl']
u,b_L,2,B,bj,u -- (j) -- B -- (b) -- b_L, 1j_l + 1b,{'bj'},['bj'],[1],['bj']
u,b_L,2,G,bj,u -- (j) -- G -- (b) -- b_L, 1j_l + 1b,{'bj'},['bj'],[1],['bj']
u,t_L,2,B,tj,u -- (j) -- B -- (t) -- t_L, 1j_l + 1t,{'tj'},['tj'],[1],['tj']
u,t_L,2,G,tj,u -- (j) -- G -- (t) -- t_L, 1j_l + 1t,{'tj'},['tj'],[1],['tj']
u,t,2,B,tj,u -- (j) -- B -- (t) -- t, 1j_l + 1t,{'tj'},['tj'],[1],['tj']
u,t,2,G,tj,u -- (j) -- G -- (t) -- t, 1j_l + 1t,{'tj'},['tj'],[1],['tj']
u,b,2,B,bj,u -- (j) -- B -- (b) -- b, 1j_l + 1b,{'bj'},['bj'],[1],['bj']
u,b,2,G,bj,u -- (j) -- G -- (b) -- b, 1j_l + 1b,{'bj'},['bj'],[1],['bj']
u,tau_L,2,B,jT,u -- (j) -- B -- (T) -- tau_L, 1j_l + 1tau,{'jT'},['jT'],[1],['jT']
u,nu_tau,2,B,jX,u -- (j) -- B -- (X) -- nu_tau, 1j_l + MET,{'jX'},['jX'],[1],['jX']
u,tau,2,B,jT,u -- (j) -- B -- (T) -- tau, 1j_l + 1tau,{'jT'},['jT'],[1],['jT']
l,B,1,-,l,l -- (l) -- B, 1l,{'l'},['l'],[1],['l']
l,W^+,1,-,X,l -- (X) -- W^+, MET,{'X'},['X'],[1],['X']
l,W^0,1,-,l,l -- (l) -- W^0, 1l,{'l'},['l'],[1],['l']
l,G,3,B q,jjl,l -- (l) -- B -- (j) -- q -- (j) -- G, 2j_l + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B d,jjl,l -- (l) -- B -- (j) -- d -- (j) -- G, 2j_l + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B u,jjl,l -- (l) -- B -- (j) -- u -- (j) -- G, 2j_l + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B b_L,bbl,l -- (l) -- B -- (b) -- b_L -- (b) -- G, 2b + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B t_L,ttl,l -- (l) -- B -- (t) -- t_L -- (t) -- G, 2t + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B t,ttl,l -- (l) -- B -- (t) -- t -- (t) -- G, 2t + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,B b,bbl,l -- (l) -- B -- (b) -- b -- (b) -- G, 2b + 1l,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,W^+ q,jjX,l -- (X) -- W^+ -- (j) -- q -- (j) -- G, 2j_l + MET,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,W^+ b_L,tbX,l -- (X) -- W^+ -- (t) -- b_L -- (b) -- G, 1t + 1b + MET,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
l,G,3,W^+ t_L,tbX,l -- (X) -- W^+ -- (b) -- t_L -- (t) -- G, 1t + 1b + MET,"{'tbX', 'jjX', 'ttl', 'jjl', 'bbl'}","['ttl', 'jjl', 'bbl', 'tbX', 'jjX']","[1, 1, 1, 1, 1]","['(JJ)l', 'tbX', 'jjX']"
