Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L_3 L E_3,H^0,nu_tau,vTTl,"['H^0 -- (v) -- W^+ -- (T) -- nu_tau -- [l,T]']",2, 1l + 2tau + 1v
L_3 L E_3,H^0,tau,vTlX,"['H^0 -- (v) -- B -- (T) -- tau -- [l,X]']",2, 1l + 1tau + 1v + MET
L_3 L E_3,H^0,tau_L,vTTX,"['H^0 -- (v) -- B -- (T) -- tau_L -- [X,T]', 'H^0 -- (v) -- W^0 -- (T) -- tau_L -- [X,T]']",2, 2tau + 1v + MET
L_3 L E_3,H^0,tau_L,vTX,"['H^0 -- (v) -- W^+ -- (X) -- tau_L -- [X,T]']",2, 1tau + 1v + MET
L_3 L E_3,H^0,nu,vTTl,"['H^0 -- (v) -- W^+ -- (l) -- nu -- [T,T]']",2, 1l + 2tau + 1v
L_3 L E_3,H^0,nu,vTTX,"['H^0 -- (v) -- B -- (X) -- nu -- [T,T]', 'H^0 -- (v) -- W^0 -- (X) -- nu -- [T,T]']",2, 2tau + 1v + MET
L_3 L E_3,H^0,tau,vTTX,"['H^0 -- (v) -- B -- (T) -- tau -- [T,X]']",2, 2tau + 1v + MET
L L E,q,l,jllX,"['q -- (j) -- B -- (l) -- l -- [X,l]', 'q -- (j) -- W^0 -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L L E,q,l,jlX,"['q -- (j) -- W^+ -- (X) -- l -- [X,l]']",2, 1j_l + 1l + MET
L L E,q,nu,jlll,"['q -- (j) -- W^+ -- (l) -- nu -- [l,l]']",2, 1j_l + 3l
L L E,q,nu,jllX,"['q -- (j) -- B -- (X) -- nu -- [l,l]', 'q -- (j) -- W^0 -- (X) -- nu -- [l,l]']",2, 1j_l + 2l + MET
L L E,q,e,jllX,"['q -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,q,l,jllX,"['q -- (j) -- B -- (l) -- l -- [X,l]', 'q -- (j) -- W^0 -- (l) -- l -- [X,l]']",2, 1j_l + 2l + MET
L_3 L E,q,l,jlX,"['q -- (j) -- W^+ -- (X) -- l -- [X,l]']",2, 1j_l + 1l + MET
L_3 L E,q,nu_tau,jTll,"['q -- (j) -- W^+ -- (T) -- nu_tau -- [l,l]']",2, 1j_l + 2l + 1tau
L_3 L E,q,nu_tau,jllX,"['q -- (j) -- W^0 -- (X) -- nu_tau -- [l,l]', 'q -- (j) -- B -- (X) -- nu_tau -- [l,l]']",2, 1j_l + 2l + MET
L_3 L E,q,e,jllX,"['q -- (j) -- B -- (l) -- e -- [l,X]']",2, 1j_l + 2l + MET
L_3 L E,q,tau_L,jTlX,"['q -- (j) -- W^0 -- (T) -- tau_L -- [X,l]', 'q -- (j) -- B -- (T) -- tau_L -- [X,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,q,tau_L,jlX,"['q -- (j) -- W^+ -- (X) -- tau_L -- [X,l]']",2, 1j_l + 1l + MET
L_3 L E,q,nu,jTll,"['q -- (j) -- W^+ -- (l) -- nu -- [T,l]']",2, 1j_l + 2l + 1tau
L_3 L E,q,nu,jTlX,"['q -- (j) -- W^0 -- (X) -- nu -- [T,l]', 'q -- (j) -- B -- (X) -- nu -- [T,l]']",2, 1j_l + 1l + 1tau + MET
L_3 L E,q,e,jTlX,"['q -- (j) -- B -- (l) -- e -- [T,X]']",2, 1j_l + 1l + 1tau + MET
L L E_3,q,l,jTlX,"['q -- (j) -- W^0 -- (l) -- l -- [X,T]', 'q -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,q,l,jTX,"['q -- (j) -- W^+ -- (X) -- l -- [X,T]']",2, 1j_l + 1tau + MET
L L E_3,q,nu,jTll,"['q -- (j) -- W^+ -- (l) -- nu -- [l,T]']",2, 1j_l + 2l + 1tau
L L E_3,q,nu,jTlX,"['q -- (j) -- B -- (X) -- nu -- [l,T]', 'q -- (j) -- W^0 -- (X) -- nu -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L L E_3,q,tau,jTlX,"['q -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,q,l,jTlX,"['q -- (j) -- W^0 -- (l) -- l -- [X,T]', 'q -- (j) -- B -- (l) -- l -- [X,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,q,l,jTX,"['q -- (j) -- W^+ -- (X) -- l -- [X,T]']",2, 1j_l + 1tau + MET
L_3 L E_3,q,nu_tau,jTTl,"['q -- (j) -- W^+ -- (T) -- nu_tau -- [l,T]']",2, 1j_l + 1l + 2tau
L_3 L E_3,q,nu_tau,jTlX,"['q -- (j) -- B -- (X) -- nu_tau -- [l,T]', 'q -- (j) -- W^0 -- (X) -- nu_tau -- [l,T]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,q,tau,jTlX,"['q -- (j) -- B -- (T) -- tau -- [l,X]']",2, 1j_l + 1l + 1tau + MET
L_3 L E_3,q,tau_L,jTTX,"['q -- (j) -- W^0 -- (T) -- tau_L -- [X,T]', 'q -- (j) -- B -- (T) -- tau_L -- [X,T]']",2, 1j_l + 2tau + MET
