Category,LSP,decays via,Signatures,Chain,NV_cascade,Signatures (ER)
L Q D_3,tau_L,q,bjlX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,b]']",2, 1j_l + 1b + 1l + MET
L Q D_3,tau_L,b,bjTl,"['tau_L -- (T) -- B -- (b) -- b -- [l,j]']",2, 1j_l + 1b + 1l + 1tau
L Q D_3,tau_L,nu,bjlX,"['tau_L -- (X) -- W^+ -- (l) -- nu -- [j,b]']",2, 1j_l + 1b + 1l + MET
L Q D_3,tau_L,nu,bjTX,"['tau_L -- (T) -- W^0 -- (X) -- nu -- [j,b]', 'tau_L -- (T) -- B -- (X) -- nu -- [j,b]']",2, 1j_l + 1b + 1tau + MET
L Q D_3,tau_L,q,bjTX,"['tau_L -- (T) -- W^0 -- (j) -- q -- [X,b]', 'tau_L -- (T) -- B -- (j) -- q -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L Q D_3,tau_L,q,bjX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [X,b]']",2, 1j_l + 1b + MET
L Q D_3,tau_L,b,bjTX,"['tau_L -- (T) -- B -- (b) -- b -- [X,j]']",2, 1j_l + 1b + 1tau + MET
L Q_3 D,tau_L,l,tjTl,"['tau_L -- (T) -- W^0 -- (l) -- l -- [t,j]', 'tau_L -- (T) -- B -- (l) -- l -- [t,j]']",2, 1j_l + 1t + 1l + 1tau
L Q_3 D,tau_L,l,tjX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [t,j]']",2, 1j_l + 1t + MET
L Q_3 D,tau_L,t_L,bjlX,"['tau_L -- (X) -- W^+ -- (b) -- t_L -- [l,j]']",2, 1j_l + 1b + 1l + MET
L Q_3 D,tau_L,t_L,tjTl,"['tau_L -- (T) -- W^0 -- (t) -- t_L -- [l,j]', 'tau_L -- (T) -- B -- (t) -- t_L -- [l,j]']",2, 1j_l + 1t + 1l + 1tau
L Q_3 D,tau_L,d,tjTl,"['tau_L -- (T) -- B -- (j) -- d -- [l,t]']",2, 1j_l + 1t + 1l + 1tau
L Q_3 D,tau_L,nu,bjlX,"['tau_L -- (X) -- W^+ -- (l) -- nu -- [b,j]']",2, 1j_l + 1b + 1l + MET
L Q_3 D,tau_L,nu,bjTX,"['tau_L -- (T) -- B -- (X) -- nu -- [b,j]', 'tau_L -- (T) -- W^0 -- (X) -- nu -- [b,j]']",2, 1j_l + 1b + 1tau + MET
L Q_3 D,tau_L,b_L,bjTX,"['tau_L -- (T) -- W^0 -- (b) -- b_L -- [X,j]', 'tau_L -- (T) -- B -- (b) -- b_L -- [X,j]']",2, 1j_l + 1b + 1tau + MET
L Q_3 D,tau_L,b_L,tjX,"['tau_L -- (X) -- W^+ -- (t) -- b_L -- [X,j]']",2, 1j_l + 1t + MET
L Q_3 D,tau_L,d,bjTX,"['tau_L -- (T) -- B -- (j) -- d -- [X,b]']",2, 1j_l + 1b + 1tau + MET
L Q_3 D_3,tau_L,l,tbTl,"['tau_L -- (T) -- B -- (l) -- l -- [t,b]', 'tau_L -- (T) -- W^0 -- (l) -- l -- [t,b]']",2, 1t + 1b + 1l + 1tau
