CAT,LSP,AA,AB,BB,ALL,AA (Common),AB (Common),BB (Common),ALL (Common),AA (Same Flavour),AB (Same Flavour),BB (Same Flavour),ALL (Same Flavour)
U D_3 D,['b'],"{'jjjj', 'bbbbjjjj', 'bbjjjj'}",-,-,"{'jjjj', 'bbbbjjjj', 'bbjjjj'}",jjjj,-,-,jjjj,"['bbjjjj', 'bbbbjjjj', 'jjjj']",-,-,"['bbjjjj', 'bbbbjjjj', 'jjjj']"
U D_3 D,"['tau_L', 'nu_tau']",{'bbjjjjTT'},{'bbjjjjTX'},{'bbjjjjX'},"{'bbjjjjTT', 'bbjjjjX', 'bbjjjjTX'}",bbjjjjTT,bbXjjjjT,bbXjjjj,bbjjjj,['bbjjjjTT'],['bbjjjjTX'],['bbjjjjX'],"['bbjjjjTX', 'bbjjjjX', 'bbjjjjTT']"
U D_3 D,['tau'],{'bbjjjjTT'},-,-,{'bbjjjjTT'},bbjjjjTT,-,-,bbjjjjTT,['bbjjjjTT'],-,-,['bbjjjjTT']
U D_3 D_3,['B'],{'bbbbjj'},-,-,{'bbbbjj'},bbbbjj,-,-,bbbbjj,['bbbbjj'],-,-,['bbbbjj']
U D_3 D_3,"['W^+', 'W^0']","{'v3bbbjjjj', 'vvbbbbjjLX', 'bbbbjjLLX', 'v3tbbbbjj', 'vvvvbbbbjj', 'vvv3bbbjj', 'ttbbbbbbjj', 'vvbbbbjjjj', 'bbbbjjjjLX', 'v3bbbjjLX', 'vvtbbbbbjj', 'bbbbjjjjjj', 'tbbbbbjjLX', 'vv33bbjj', 'tbbbbbjjjj'}","{'v3bbbjjX', 'tbbbbbjjTT', 'vvvvbbbbjj', 'vvbbbbjjjj', 'vv33bbbbjj', '33bbbbjjjj', 'tbbbbbjjX', 'vvbbbbjjLX', 'v3bbbjjll', 'tbbbbbjjll', 'bbbbjjjjLX', 'vvbbbbjjX', 'ttbbbbjjLX', 'v3bbbjjLX', 'tttbbbbbjj', 'vv33bbjj', 'v333bbbjj', 'vvbbbbjjTT', 'vvbbbbjjll', 'v3bbbjjjj', 'bbbbjjjjX', 'bbbbjjLX', 'bbbbbbjjLX', 'bbbbjjjjTT', 'vvv3bbbjj', 'bbbbjjLLLX', 'v3bbbjjTT', 'bbbbjjjjjj', 'tbbbbbbbjj', 'bbbbjjjjll'}","{'v3bbbjjX', 'bbbbjjX', 'vvttbbbbjj', 'vvvvbbbbjj', 'ttbbbbjjll', 'vvbbbbjjjj', 'ttttbbbbjj', 'ttbbbbjjX', 'bbbbjjTTX', 'bbbbbbjjll', 'v3bbbjjll', 'bbbbbbbbjj', 'bbbbbbjjX', 'vvbbbbjjX', 'bbbbjjTTll', 'vv33bbjj', 'bbbbjjTTTT', 'v333bbbjj', 'vvbbbbjjTT', 'vvbbbbjjll', 'v3bbbjjjj', 'bbbbjjjjX', 'bbbbjjjjTT', 'vvv3bbbjj', 'ttbbbbbbjj', 'bbbbbbjjTT', 'vvbbbbbbjj', 'ttbbbbjjTT', 'bbbbjjllX', 'bbbbbbjjjj', 'bbbbjjllll', 'v3bbbjjTT', 'bbbbjjjjjj', 'bbbbjjjjll', 'ttbbbbjjjj'}","{'v3bbbjjX', 'bbbbjjX', 'bbbbjjLLX', 'vvvvbbbbjj', 'vvbbbbjjjj', 'vv33bbbbjj', '33bbbbjjjj', '3333bbbbjj', 'vvbbbbjjLX', 'v3bbbjjll', 'bbbbjjjjLX', 'vvbbbbjjX', 'bbbbjjTTll', 'v3bbbjjLX', 'vv33bbjj', 'bbbbjjTTTT', 'v333bbbjj', 'vvbbbbjjTT', 'vvbbbbjjll', 'v3bbbjjjj', '33bbbbjjLX', 'bbbbjjjjX', 'bbbbjjLX', 'bbbbjjjjTT', 'vvv3bbbjj', '33bbbbjjTT', 'bbbbjjLLLX', 'bbbbjjllll', '33bbbbjjll', '33bbbbjjX', 'v3bbbjjTT', 'bbbbjjjjjj', 'bbbbjjjjll'}",jjbb,jjbb,jjbb,jjbb,"['bbbbjjLLX', 'vv33bbjj', 'v3bbbjjLX', 'jjvvbbbbjj', 'tbvvbbbbjj', 'vvbbbbjjLX', 'jjv3bbbjj', 'tbv3bbbjj', 'vvvvbbbbjj', 'vvv3bbbjj', 'ttbbbbbbjj', 'jjjjbbbbjj', 'tbjjbbbbjj', 'jjbbbbjjLX', 'tbbbbbjjLX']","['tbTTbbbbjj', 'tbllbbbbjj', 'jjTTbbbbjj', 'jjllbbbbjj', 'vvbbbbjjX', 'v3bbbjjX', 'vv33bbjj', 'bbbbjjLLLX', '(JJ)vvbbbbjj', 'v3bbbjjLX', '(LL)vvbbbbjj', 'vvbbbbjjLX', '(JJ)v3bbbjj', '(LL)v3bbbjj', 'vvv3bbbjj', 'vvvvbbbbjj', 'bbbbjjLX', '33jjbbbbjj', 'tttbbbbbjj', 'jjjjbbbbjj', 'tbbbbbbbjj', '(JJ)bbbbjjLX', 'tbbbbbjjX', 'jjbbbbjjX']","['ttllbbbbjj', 'bbllbbbbjj', 'jjTTbbbbjj', 'bbTTbbbbjj', 'ttTTbbbbjj', 'jjllbbbbjj', 'vvbbbbjjX', 'v3bbbjjX', '(LL)bbbbjjX', 'vv33bbjj', 'TTllbbbbjj', 'TTTTbbbbjj', 'llllbbbbjj', '(JJ)vvbbbbjj', '(LL)vvbbbbjj', '(JJ)v3bbbjj', '(LL)v3bbbjj', 'vvv3bbbjj', 'vvvvbbbbjj', 'ttttbbbbjj', 'bbbbbbbbjj', 'ttbbbbbbjj', 'bbjjbbbbjj', 'jjjjbbbbjj', 'ttjjbbbbjj', 'bbbbjjX', '(JJ)bbbbjjX']","['bbbbjjLLX', '(JJ)v3bbbjj', 'jjTTbbbbjj', '33TTbbbbjj', '33llbbbbjj', 'jjllbbbbjj', 'vv33bbjj', 'bbbbjjLLLX', '(JJ)vvbbbbjj', '(LL)v3bbbjj', '33jjbbbbjj', '3333bbbbjj', 'jjjjbbbbjj', '(JJ)bbbbjjLX', '(JJ)bbbbjjX', 'vvbbbbjjX', 'v3bbbjjX', 'TTllbbbbjj', 'TTTTbbbbjj', 'llllbbbbjj', 'vvbbbbjjLX', 'vvv3bbbjj', 'v3bbbjjLX', '(LL)vvbbbbjj', 'vvvvbbbbjj', 'bbbbjjLX', 'bbbbjjX']"
U D_3 D_3,['G'],{'bbbbjj'},-,-,{'bbbbjj'},bbbbjj,-,-,bbbbjj,['bbbbjj'],-,-,['bbbbjj']
U D_3 D_3,"['H^+', 'H^0']","{'ttbbjj', 'vvbbbbjj', 'vtbbbjj'}","{'v3bbbjj', 'tbbbjj', 'vvbbbbjj'}","{'vbbbbjj', 'bbbbjj', 'vvbbbbjj'}","{'v3bbbjj', '33bbjj', 'vvbbbbjj'}",bbjj,bbbjj,bbbbjj,bbjj,"['ttbbjj', 'vtbbbjj', 'vvbbbbjj']","['tbbbjj', 'v3bbbjj', 'vvbbbbjj']","['bbbbjj', 'vbbbbjj', 'vvbbbbjj']","['33bbjj', 'v3bbbjj', 'vvbbbbjj']"
U D_3 D_3,['q'],{'bbbbjjjj'},-,-,{'bbbbjjjj'},bbbbjjjj,-,-,bbbbjjjj,['bbbbjjjj'],-,-,['bbbbjjjj']
U D_3 D_3,['d'],{'bbbbjjjj'},-,-,{'bbbbjjjj'},bbbbjjjj,-,-,bbbbjjjj,['bbbbjjjj'],-,-,['bbbbjjjj']
U D_3 D_3,['u'],"{'bbbbjjjj', 'bbbbjj', 'bbbb'}",-,-,"{'bbbbjjjj', 'bbbbjj', 'bbbb'}",bbbb,-,-,bbbb,"['bbbbjj', 'bbbbjjjj', 'bbbb']",-,-,"['bbbbjj', 'bbbbjjjj', 'bbbb']"
