CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U_3 D_3 D,L_3 L E,B,B,tbj,TlX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",tbjTlX, 1j_l + 1t + 1b, 1l + 1tau + MET, 1j_l + 1t + 1b + 1l + 1tau + MET
U_3 D_3 D,L L E_3,B,B,tbj,TlX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tbjTlX, 1j_l + 1t + 1b, 1l + 1tau + MET, 1j_l + 1t + 1b + 1l + 1tau + MET
U_3 D_3 D,L_3 L E_3,B,B,tbj,TTX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",tbjTTX, 1j_l + 1t + 1b, 2tau + MET, 1j_l + 1t + 1b + 2tau + MET
U_3 D_3 D,L_3 L E_3,B,B,tbj,TlX,"['B -- (t) -- t -- [j,b]', 'B -- (j) -- d -- [t,b]', 'B -- (b) -- b -- [t,j]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tbjTlX, 1j_l + 1t + 1b, 1l + 1tau + MET, 1j_l + 1t + 1b + 1l + 1tau + MET
U_3 D_3 D_3,L L E,B,B,tbb,llX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu -- [l,l]', 'B -- (l) -- e -- [l,X]']",tbbllX, 1t + 2b, 2l + MET, 1t + 2b + 2l + MET
U_3 D_3 D_3,L_3 L E,B,B,tbb,llX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (l) -- l -- [X,l]', 'B -- (X) -- nu_tau -- [l,l]', 'B -- (l) -- e -- [l,X]']",tbbllX, 1t + 2b, 2l + MET, 1t + 2b + 2l + MET
U_3 D_3 D_3,L_3 L E,B,B,tbb,TlX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (T) -- tau_L -- [X,l]', 'B -- (X) -- nu -- [T,l]', 'B -- (l) -- e -- [T,X]']",tbbTlX, 1t + 2b, 1l + 1tau + MET, 1t + 2b + 1l + 1tau + MET
U_3 D_3 D_3,L L E_3,B,B,tbb,TlX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tbbTlX, 1t + 2b, 1l + 1tau + MET, 1t + 2b + 1l + 1tau + MET
U_3 D_3 D_3,L_3 L E_3,B,B,tbb,TTX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (T) -- tau_L -- [X,T]', 'B -- (X) -- nu -- [T,T]', 'B -- (T) -- tau -- [T,X]']",tbbTTX, 1t + 2b, 2tau + MET, 1t + 2b + 2tau + MET
U_3 D_3 D_3,L_3 L E_3,B,B,tbb,TlX,"['B -- (t) -- t -- [b,b]', 'B -- (b) -- b -- [t,b]', 'B -- (b) -- b -- [t,b]']","['B -- (l) -- l -- [X,T]', 'B -- (X) -- nu_tau -- [l,T]', 'B -- (T) -- tau -- [l,X]']",tbbTlX, 1t + 2b, 1l + 1tau + MET, 1t + 2b + 1l + 1tau + MET
