CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D,tau_L,nu_tau,tj,bjTT,"['tau_L -- [t,j]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,j]']",tbjjTT, 1j_l + 1t, 1j_l + 1b + 2tau, 2j_l + 1t + 1b + 2tau
L_3 Q_3 D,tau_L,nu_tau,tj,tjTE,"['tau_L -- [t,j]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,j]']",ttjjTE, 1j_l + 1t, 1j_l + 1t + 1tau + MET, 2j_l + 2t + 1tau + MET
L_3 Q_3 D,tau_L,nu_tau,tj,bj,"['tau_L -- [t,j]']","['nu_tau -- [b,j]']",tbjj, 1j_l + 1t, 1j_l + 1b, 2j_l + 1t + 1b
L_3 Q_3 D,tau_L,nu_tau,tj,bjE,"['tau_L -- [t,j]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [E,b]']",tbjjE, 1j_l + 1t, 1j_l + 1b + MET, 2j_l + 1t + 1b + MET
L_3 Q_3 D,tau_L,nu_tau,tjE,bjTT,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu_tau -- (T) -- W^+ -- (b) -- t_L -- [T,j]']",tbjjTTE, 1j_l + 1t + MET, 1j_l + 1b + 2tau, 2j_l + 1t + 1b + 2tau + MET
L_3 Q_3 D,tau_L,nu_tau,tjE,tjTE,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,j]']",ttjjTE, 1j_l + 1t + MET, 1j_l + 1t + 1tau + MET, 2j_l + 2t + 1tau + MET
L_3 Q_3 D,tau_L,nu_tau,tjE,bj,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu_tau -- [b,j]']",tbjjE, 1j_l + 1t + MET, 1j_l + 1b, 2j_l + 1t + 1b + MET
L_3 Q_3 D,tau_L,nu_tau,tjE,bjE,"['tau_L -- (E) -- W^+ -- (t) -- b_L -- [E,j]']","['nu_tau -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu_tau -- (E) -- B -- (j) -- d -- [E,b]']",tbjjE, 1j_l + 1t + MET, 1j_l + 1b + MET, 2j_l + 1t + 1b + MET
L_3 Q_3 D_3,tau_L,nu_tau,bbTE,tbTE,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,b]']","['nu_tau -- (E) -- B -- (t) -- t_L -- [T,b]', 'nu_tau -- (E) -- B -- (b) -- b -- [T,t]', 'nu_tau -- (T) -- W^+ -- (t) -- b_L -- [E,b]']",tbbbTTE, 2b + 1tau + MET, 1t + 1b + 1tau + MET, 1t + 3b + 2tau + MET
L_3 Q_3 D_3,tau_L,nu_tau,bbTE,bb,"['tau_L -- (E) -- W^+ -- (b) -- t_L -- [T,b]', 'tau_L -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau_L -- (T) -- B -- (b) -- b -- [E,b]']","['nu_tau -- [b,b]']",bbbbTE, 2b + 1tau + MET, 2b, 4b + 1tau + MET
