CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q_3 D,tau,tau,tjTl,bjTE,"['tau -- (T) -- B -- (l) -- l -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,t]']","['tau -- (T) -- B -- (E) -- nu -- [b,j]', 'tau -- (T) -- B -- (b) -- b_L -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,b]']",tbjjTTlE, 1j_l + 1t + 1l + 1tau, 1j_l + 1b + 1tau + MET, 2j_l + 1t + 1b + 1l + 2tau + MET
L Q_3 D,tau,tau,tjTl,tjTl,"['tau -- (T) -- B -- (l) -- l -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,t]']","['tau -- (T) -- B -- (l) -- l -- [t,j]', 'tau -- (T) -- B -- (t) -- t_L -- [l,j]', 'tau -- (T) -- B -- (j) -- d -- [l,t]']",ttjjTTll, 1j_l + 1t + 1l + 1tau, 1j_l + 1t + 1l + 1tau, 2j_l + 2t + 2l + 2tau
L Q_3 D_3,tau,tau,tbTl,tbTl,"['tau -- (T) -- B -- (l) -- l -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,t]']","['tau -- (T) -- B -- (l) -- l -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,t]']",ttbbTTll, 1t + 1b + 1l + 1tau, 1t + 1b + 1l + 1tau, 2t + 2b + 2l + 2tau
L Q_3 D_3,tau,tau,tbTl,bbTE,"['tau -- (T) -- B -- (l) -- l -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,t]']","['tau -- (T) -- B -- (E) -- nu -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']",tbbbTTlE, 1t + 1b + 1l + 1tau, 2b + 1tau + MET, 1t + 3b + 1l + 2tau + MET
L Q_3 D_3,tau,tau,bbTE,tbTl,"['tau -- (T) -- B -- (E) -- nu -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']","['tau -- (T) -- B -- (l) -- l -- [t,b]', 'tau -- (T) -- B -- (t) -- t_L -- [l,b]', 'tau -- (T) -- B -- (b) -- b -- [l,t]']",tbbbTTlE, 2b + 1tau + MET, 1t + 1b + 1l + 1tau, 1t + 3b + 1l + 2tau + MET
L Q_3 D_3,tau,tau,bbTE,bbTE,"['tau -- (T) -- B -- (E) -- nu -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']","['tau -- (T) -- B -- (E) -- nu -- [b,b]', 'tau -- (T) -- B -- (b) -- b_L -- [E,b]', 'tau -- (T) -- B -- (b) -- b -- [E,b]']",bbbbTTE, 2b + 1tau + MET, 2b + 1tau + MET, 4b + 2tau + MET
L_3 Q D,tau,tau,jjTE,jjTE,"['tau -- (T) -- B -- (E) -- nu_tau -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']","['tau -- (T) -- B -- (E) -- nu_tau -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']",jjjjTTE, 2j_l + 1tau + MET, 2j_l + 1tau + MET, 4j_l + 2tau + MET
L_3 Q D,tau,tau,jjTE,jjTT,"['tau -- (T) -- B -- (E) -- nu_tau -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']","['tau -- (T) -- B -- (T) -- tau_L -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,j]']",jjjjTTTE, 2j_l + 1tau + MET, 2j_l + 2tau, 4j_l + 3tau + MET
L_3 Q D,tau,tau,jjTT,jjTE,"['tau -- (T) -- B -- (T) -- tau_L -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,j]']","['tau -- (T) -- B -- (E) -- nu_tau -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [E,j]', 'tau -- (T) -- B -- (j) -- d -- [E,j]']",jjjjTTTE, 2j_l + 2tau, 2j_l + 1tau + MET, 4j_l + 3tau + MET
L_3 Q D,tau,tau,jjTT,jjTT,"['tau -- (T) -- B -- (T) -- tau_L -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,j]']","['tau -- (T) -- B -- (T) -- tau_L -- [j,j]', 'tau -- (T) -- B -- (j) -- q -- [T,j]', 'tau -- (T) -- B -- (j) -- d -- [T,j]']",jjjjTTTT, 2j_l + 2tau, 2j_l + 2tau, 4j_l + 4tau
