CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D,l,nu,bjTE,bjE,"['l -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [b,j]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,j]', 'nu -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,b]']",bbjjTE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + MET, 2j_l + 2b + 1tau + MET
L_3 Q_3 D,l,nu,bjTE,bjTl,"['l -- (E) -- W^+ -- (b) -- t_L -- [T,j]', 'l -- (E) -- W^+ -- (T) -- nu_tau -- [b,j]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,j]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,j]']",bbjjTTlE, 1j_l + 1b + 1tau + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 1l + 2tau + MET
L_3 Q_3 D,l,nu,tjTl,tjlE,"['l -- (l) -- B -- (T) -- tau_L -- [t,j]', 'l -- (l) -- B -- (t) -- t_L -- [T,j]', 'l -- (l) -- B -- (j) -- d -- [T,t]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [t,j]', 'nu -- (l) -- W^+ -- (t) -- b_L -- [E,j]']",ttjjTllE, 1j_l + 1t + 1l + 1tau, 1j_l + 1t + 1l + MET, 2j_l + 2t + 2l + 1tau + MET
L_3 Q_3 D,l,nu,tjTl,tjTE,"['l -- (l) -- B -- (T) -- tau_L -- [t,j]', 'l -- (l) -- B -- (t) -- t_L -- [T,j]', 'l -- (l) -- B -- (j) -- d -- [T,t]']","['nu -- (E) -- B -- (T) -- tau_L -- [t,j]', 'nu -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu -- (E) -- B -- (j) -- d -- [T,t]']",ttjjTTlE, 1j_l + 1t + 1l + 1tau, 1j_l + 1t + 1tau + MET, 2j_l + 2t + 1l + 2tau + MET
L_3 Q_3 D,l,nu,tjTl,bjE,"['l -- (l) -- B -- (T) -- tau_L -- [t,j]', 'l -- (l) -- B -- (t) -- t_L -- [T,j]', 'l -- (l) -- B -- (j) -- d -- [T,t]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,j]', 'nu -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,b]']",tbjjTlE, 1j_l + 1t + 1l + 1tau, 1j_l + 1b + MET, 2j_l + 1t + 1b + 1l + 1tau + MET
L_3 Q_3 D,l,nu,tjTl,bjTl,"['l -- (l) -- B -- (T) -- tau_L -- [t,j]', 'l -- (l) -- B -- (t) -- t_L -- [T,j]', 'l -- (l) -- B -- (j) -- d -- [T,t]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,j]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,j]']",tbjjTTll, 1j_l + 1t + 1l + 1tau, 1j_l + 1b + 1l + 1tau, 2j_l + 1t + 1b + 2l + 2tau
L_3 Q_3 D,l,nu,bjlE,tjlE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,j]', 'l -- (l) -- B -- (b) -- b_L -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,b]']","['nu -- (l) -- W^+ -- (E) -- tau_L -- [t,j]', 'nu -- (l) -- W^+ -- (t) -- b_L -- [E,j]']",tbjjllE, 1j_l + 1b + 1l + MET, 1j_l + 1t + 1l + MET, 2j_l + 1t + 1b + 2l + MET
L_3 Q_3 D,l,nu,bjlE,tjTE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,j]', 'l -- (l) -- B -- (b) -- b_L -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,b]']","['nu -- (E) -- B -- (T) -- tau_L -- [t,j]', 'nu -- (E) -- B -- (t) -- t_L -- [T,j]', 'nu -- (E) -- B -- (j) -- d -- [T,t]']",tbjjTlE, 1j_l + 1b + 1l + MET, 1j_l + 1t + 1tau + MET, 2j_l + 1t + 1b + 1l + 1tau + MET
L_3 Q_3 D,l,nu,bjlE,bjE,"['l -- (l) -- B -- (E) -- nu_tau -- [b,j]', 'l -- (l) -- B -- (b) -- b_L -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,b]']","['nu -- (E) -- B -- (E) -- nu_tau -- [b,j]', 'nu -- (E) -- B -- (b) -- b_L -- [E,j]', 'nu -- (E) -- B -- (j) -- d -- [E,b]']",bbjjlE, 1j_l + 1b + 1l + MET, 1j_l + 1b + MET, 2j_l + 2b + 1l + MET
L_3 Q_3 D,l,nu,bjlE,bjTl,"['l -- (l) -- B -- (E) -- nu_tau -- [b,j]', 'l -- (l) -- B -- (b) -- b_L -- [E,j]', 'l -- (l) -- B -- (j) -- d -- [E,b]']","['nu -- (l) -- W^+ -- (b) -- t_L -- [T,j]', 'nu -- (l) -- W^+ -- (T) -- nu_tau -- [b,j]']",bbjjTllE, 1j_l + 1b + 1l + MET, 1j_l + 1b + 1l + 1tau, 2j_l + 2b + 2l + 1tau + MET
