CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L L E,b,b,vtlll,vbllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvtblllllE, 1t + 3l + 1v, 1b + 2l + 1v + MET, 1t + 1b + 5l + 2v + MET
L L E,b,b,vtlll,vtllE,"['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvttlllllE, 1t + 3l + 1v, 1t + 2l + 1v + MET, 2t + 5l + 2v + MET
L L E,b,b,vbllE,bllE,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vbbllllE, 1b + 2l + 1v + MET, 1b + 2l + MET, 2b + 4l + 1v + MET
L L E,b,b,vbllE,vblE,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvbblllE, 1b + 2l + 1v + MET, 1b + 1l + 1v + MET, 2b + 3l + 2v + MET
L L E,b,b,vbllE,vtlE,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (E) -- l -- [E,l]']",vvtblllE, 1b + 2l + 1v + MET, 1t + 1l + 1v + MET, 1t + 1b + 3l + 2v + MET
L L E,b,b,vbllE,vblll,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvbblllllE, 1b + 2l + 1v + MET, 1b + 3l + 1v, 2b + 5l + 2v + MET
L L E,b,b,vbllE,vtlll,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- W^+ -- (l) -- nu -- [l,l]']",vvtblllllE, 1b + 2l + 1v + MET, 1t + 3l + 1v, 1t + 1b + 5l + 2v + MET
L L E,b,b,vbllE,vbllE,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']",vvbbllllE, 1b + 2l + 1v + MET, 1b + 2l + 1v + MET, 2b + 4l + 2v + MET
L L E,b,b,vbllE,vtllE,"['b -- (b) -- H^0 -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- H^0 -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- H^0 -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']",vvtbllllE, 1b + 2l + 1v + MET, 1t + 2l + 1v + MET, 1t + 1b + 4l + 2v + MET
L L E,b,b,vtllE,bllE,"['b -- (t) -- H^+ -- (v) -- B -- (l) -- l -- [E,l]', 'b -- (t) -- H^+ -- (v) -- B -- (E) -- nu -- [l,l]', 'b -- (t) -- H^+ -- (v) -- B -- (l) -- e -- [l,E]']","['b -- (b) -- B -- (l) -- l -- [E,l]', 'b -- (b) -- B -- (E) -- nu -- [l,l]', 'b -- (b) -- B -- (l) -- e -- [l,E]']",vtbllllE, 1t + 2l + 1v + MET, 1b + 2l + MET, 1t + 1b + 4l + 1v + MET
