CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,vtjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vvttbjjT, 1t + 1b + 1tau + 1v, 2j_l + 1t + 1v, 2j_l + 2t + 1b + 1tau + 2v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,tjjlX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",vttbjjTlX, 1t + 1b + 1tau + 1v, 2j_l + 1t + 1l + MET, 2j_l + 2t + 1b + 1l + 1tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,ttbjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",vtttbbjjT, 1t + 1b + 1tau + 1v, 2j_l + 2t + 1b, 2j_l + 3t + 2b + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,tjjTX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",vttbjjTTX, 1t + 1b + 1tau + 1v, 2j_l + 1t + 1tau + MET, 2j_l + 2t + 1b + 2tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,tjjjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",vttbjjjjT, 1t + 1b + 1tau + 1v, 4j_l + 1t, 4j_l + 2t + 1b + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,vvtjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvvttbjjT, 1t + 1b + 1tau + 1v, 2j_l + 1t + 2v, 2j_l + 2t + 1b + 1tau + 3v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbT,vbjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [T,t]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vvtbbjjT, 1t + 1b + 1tau + 1v, 2j_l + 1b + 1v, 2j_l + 1t + 2b + 1tau + 2v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,vtjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vvtttjjT, 2t + 1tau + 1v, 2j_l + 1t + 1v, 2j_l + 3t + 1tau + 2v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,tjjlX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",vtttjjTlX, 2t + 1tau + 1v, 2j_l + 1t + 1l + MET, 2j_l + 3t + 1l + 1tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,ttbjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",vttttbjjT, 2t + 1tau + 1v, 2j_l + 2t + 1b, 2j_l + 4t + 1b + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,tjjTX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",vtttjjTTX, 2t + 1tau + 1v, 2j_l + 1t + 1tau + MET, 2j_l + 3t + 2tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,tjjjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",vtttjjjjT, 2t + 1tau + 1v, 4j_l + 1t, 4j_l + 3t + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,vvtjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvvtttjjT, 2t + 1tau + 1v, 2j_l + 1t + 2v, 2j_l + 3t + 1tau + 3v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vttT,vbjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [T,t]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vvttbjjT, 2t + 1tau + 1v, 2j_l + 1b + 1v, 2j_l + 2t + 1b + 1tau + 2v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,vtjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vvttbjjX, 1t + 1b + 1v + MET, 2j_l + 1t + 1v, 2j_l + 2t + 1b + 2v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,tjjlX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",vttbjjlX, 1t + 1b + 1v + MET, 2j_l + 1t + 1l + MET, 2j_l + 2t + 1b + 1l + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,ttbjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",vtttbbjjX, 1t + 1b + 1v + MET, 2j_l + 2t + 1b, 2j_l + 3t + 2b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,tjjTX,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",vttbjjTX, 1t + 1b + 1v + MET, 2j_l + 1t + 1tau + MET, 2j_l + 2t + 1b + 1tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,tjjjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",vttbjjjjX, 1t + 1b + 1v + MET, 4j_l + 1t, 4j_l + 2t + 1b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,vvtjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvvttbjjX, 1t + 1b + 1v + MET, 2j_l + 1t + 2v, 2j_l + 2t + 1b + 3v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vtbX,vbjj,"['W^+ -- (v) -- H^+ -- (t) -- b -- [X,b]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vvtbbjjX, 1t + 1b + 1v + MET, 2j_l + 1b + 1v, 2j_l + 1t + 2b + 2v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,vtjj,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vtbbjjT, 2b + 1tau, 2j_l + 1t + 1v, 2j_l + 1t + 2b + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,tjjlX,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",tbbjjTlX, 2b + 1tau, 2j_l + 1t + 1l + MET, 2j_l + 1t + 2b + 1l + 1tau + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,ttbjj,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",ttbbbjjT, 2b + 1tau, 2j_l + 2t + 1b, 2j_l + 2t + 3b + 1tau
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,tjjTX,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",tbbjjTTX, 2b + 1tau, 2j_l + 1t + 1tau + MET, 2j_l + 1t + 2b + 2tau + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,tjjjj,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",tbbjjjjT, 2b + 1tau, 4j_l + 1t, 4j_l + 1t + 2b + 1tau
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,vvtjj,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvtbbjjT, 2b + 1tau, 2j_l + 1t + 2v, 2j_l + 1t + 2b + 1tau + 2v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,bbT,vbjj,"['W^+ -- (b) -- t_L -- [T,b]', 'W^+ -- (T) -- nu_tau -- [b,b]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vbbbjjT, 2b + 1tau, 2j_l + 1b + 1v, 2j_l + 3b + 1tau + 1v
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,vtjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (v) -- H^0 -- (t) -- t -- [j,j]']",vvtbbjjX, 2b + 1v + MET, 2j_l + 1t + 1v, 2j_l + 1t + 2b + 2v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,tjjlX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- l -- (l) -- B -- (j) -- d -- [t,j]']",vtbbjjlX, 2b + 1v + MET, 2j_l + 1t + 1l + MET, 2j_l + 1t + 2b + 1l + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,ttbjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^+ -- (t) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",vttbbbjjX, 2b + 1v + MET, 2j_l + 2t + 1b, 2j_l + 2t + 3b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,tjjTX,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]', 'W^+ -- (X) -- tau_L -- (T) -- B -- (j) -- d -- [t,j]']",vtbbjjTX, 2b + 1v + MET, 2j_l + 1t + 1tau + MET, 2j_l + 1t + 2b + 1tau + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,tjjjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]', 'W^+ -- (j) -- q -- (j) -- B -- (j) -- d -- [t,j]']",vtbbjjjjX, 2b + 1v + MET, 4j_l + 1t, 4j_l + 1t + 2b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,vvtjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]', 'W^+ -- (v) -- H^+ -- (v) -- B -- (j) -- d -- [t,j]']",vvvtbbjjX, 2b + 1v + MET, 2j_l + 1t + 2v, 2j_l + 1t + 2b + 3v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^+,vbbX,vbjj,"['W^+ -- (v) -- H^0 -- (b) -- b -- [X,b]']","['W^+ -- (v) -- H^+ -- (b) -- t -- [j,j]']",vvbbbjjX, 2b + 1v + MET, 2j_l + 1b + 1v, 2j_l + 3b + 2v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^0,tbX,vtjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^0 -- (v) -- H^0 -- (t) -- t -- [j,j]']",vttbjjX, 1t + 1b + MET, 2j_l + 1t + 1v, 2j_l + 2t + 1b + 1v + MET
L_3 Q_3 D_3,U_3 D D,W^+,W^0,tbX,tbbjj,"['W^+ -- (X) -- tau_L -- [t,b]', 'W^+ -- (t) -- b_L -- [X,b]']","['W^0 -- (b) -- b_L -- (b) -- B -- (j) -- d -- [t,j]', 'W^0 -- (b) -- b_L -- (b) -- B -- (j) -- d -- [t,j]']",ttbbbjjX, 1t + 1b + MET, 2j_l + 1t + 2b, 2j_l + 2t + 3b + MET
