Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
e,nu,['lX'],['lX']
e,b_L,['bl'],['bl']
e,t_L,['tl'],['tl']
e,t,['tl'],['tl']
e,b,['bl'],['bl']
e,tau_L,['Tl'],['Tl']
e,nu_tau,['lX'],['lX']
e,tau,['Tl'],['Tl']
b_L,B,['b'],['b']
b_L,W^+,['t'],['t']
b_L,W^0,['b'],['b']
b_L,G,['b'],['b']
b_L,H^+,['t'],['t']
b_L,H^0,['b'],['b']
b_L,q,"['tj', 'bj']",['3j']
b_L,d,['bj'],['bj']
b_L,u,['bj'],['bj']
b_L,l,"['tX', 'bl']","['tX', 'bl']"
b_L,nu,"['tl', 'bX']","['tl', 'bX']"
b_L,e,['bl'],['bl']
b_L,t_L,['tb'],['tb']
b_L,t,['tb'],['tb']
b_L,b,"['tt', 'bb']","['tt', 'bb']"
b_L,tau_L,"['tX', 'bT']","['tX', 'bT']"
b_L,nu_tau,"['tT', 'bX']","['tT', 'bX']"
b_L,tau,['bT'],['bT']
t_L,B,['t'],['t']
t_L,W^+,['b'],['b']
t_L,W^0,['t'],['t']
t_L,G,['t'],['t']
t_L,H^+,['b'],['b']
t_L,H^0,['t'],['t']
t_L,q,"['tj', 'bj']",['3j']
t_L,d,['tj'],['tj']
t_L,u,['tj'],['tj']
t_L,l,"['tl', 'bX']","['tl', 'bX']"
t_L,nu,"['tX', 'bl']","['tX', 'bl']"
t_L,e,['tl'],['tl']
t_L,b_L,['tb'],['tb']
t_L,t,"['tt', 'bb']","['tt', 'bb']"
t_L,b,['tb'],['tb']
t_L,tau_L,"['tT', 'bX']","['tT', 'bX']"
t_L,nu_tau,"['tX', 'bT']","['tX', 'bT']"
t_L,tau,['tT'],['tT']
t,B,['t'],['t']
t,W^+,"['vb', 'vt']",['v3']
t,W^0,"['vb', 'vt']",['v3']
t,G,['t'],['t']
t,H^+,['b'],['b']
t,H^0,['t'],['t']
t,q,['tj'],['tj']
t,d,['tj'],['tj']
t,u,['tj'],['tj']
t,l,['tl'],['tl']
t,nu,['tX'],['tX']
t,e,['tl'],['tl']
t,b_L,['tb'],['tb']
t,t_L,"['tt', 'bb']","['tt', 'bb']"
t,b,['tb'],['tb']
t,tau_L,['tT'],['tT']
t,nu_tau,['tX'],['tX']
t,tau,['tT'],['tT']
b,B,['b'],['b']
b,W^+,"['vt', 'vb']",['v3']
b,W^0,"['vt', 'vb']",['v3']
b,G,['b'],['b']
b,H^+,['t'],['t']
b,H^0,['b'],['b']
b,q,['bj'],['bj']
b,d,['bj'],['bj']
b,u,['bj'],['bj']
b,l,['bl'],['bl']
b,nu,['bX'],['bX']
b,e,['bl'],['bl']
b,b_L,"['tt', 'bb']","['tt', 'bb']"
b,t_L,['tb'],['tb']
b,t,['tb'],['tb']
b,tau_L,['bT'],['bT']
b,nu_tau,['bX'],['bX']
b,tau,['bT'],['bT']
tau_L,B,['T'],['T']
tau_L,W^+,['X'],['X']
tau_L,W^0,['T'],['T']
tau_L,G,"['ttT', 'bbT', 'jjT', 'tbX', 'jjX']","['jjX', '(JJ)T', 'tbX']"
tau_L,H^+,"['vX', 'vT']","['vX', 'vT']"
tau_L,H^0,"['vX', 'vT']","['vX', 'vT']"
tau_L,q,"['jT', 'jX']","['jT', 'jX']"
tau_L,d,['jT'],['jT']
tau_L,u,['jT'],['jT']
tau_L,l,"['X', 'Tl']","['X', 'Tl']"
tau_L,nu,"['lX', 'TX']",['LX']
tau_L,e,['Tl'],['Tl']
tau_L,b_L,"['tX', 'bT']","['tX', 'bT']"
tau_L,t_L,"['tT', 'bX']","['tT', 'bX']"
tau_L,t,['tT'],['tT']
tau_L,b,['bT'],['bT']
tau_L,nu_tau,['TX'],['TX']
tau_L,tau,['TT'],['TT']
nu_tau,B,['X'],['X']
nu_tau,W^+,['T'],['T']
nu_tau,W^0,['X'],['X']
nu_tau,G,"['tbT', 'jjT', 'ttX', 'jjX', 'bbX']","['tbT', 'jjT', '(JJ)X']"
nu_tau,H^+,"['vX', 'vT']","['vX', 'vT']"
nu_tau,H^0,"['vX', 'vT']","['vX', 'vT']"
nu_tau,q,"['jT', 'jX']","['jT', 'jX']"
nu_tau,d,['jX'],['jX']
nu_tau,u,['jX'],['jX']
nu_tau,l,"['TX', 'lX']",['LX']
nu_tau,nu,"['X', 'Tl']","['X', 'Tl']"
nu_tau,e,['lX'],['lX']
nu_tau,b_L,"['tT', 'bX']","['tT', 'bX']"
nu_tau,t_L,"['tX', 'bT']","['tX', 'bT']"
nu_tau,t,['tX'],['tX']
nu_tau,b,['bX'],['bX']
nu_tau,tau_L,['TX'],['TX']
nu_tau,tau,['TX'],['TX']
tau,B,['T'],['T']
tau,W^+,"['tbT', 'jjT', 'TTX', 'TlX', 'vvT']","['LTX', 'tbT', 'vvT', 'jjT']"
tau,W^0,"['TTT', 'ttT', 'bbT', 'jjT', 'Tll', 'TX', 'vvT']","['vvT', 'TX', '(JJ)T', '(LL)T']"
