CAT,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
L Q D,t,t,tjjX,tjjX,"['t -- (t) -- B -- (X) -- nu -- [j,j]', 't -- (t) -- B -- (j) -- q -- [X,j]', 't -- (t) -- B -- (j) -- d -- [X,j]']","['t -- (t) -- B -- (X) -- nu -- [j,j]', 't -- (t) -- B -- (j) -- q -- [X,j]', 't -- (t) -- B -- (j) -- d -- [X,j]']",ttjjjjX, 2j_l + 1t + MET, 2j_l + 1t + MET, 4j_l + 2t + MET
L Q D,t,t,tjjX,tjjl,"['t -- (t) -- B -- (X) -- nu -- [j,j]', 't -- (t) -- B -- (j) -- q -- [X,j]', 't -- (t) -- B -- (j) -- d -- [X,j]']","['t -- (t) -- B -- (l) -- l -- [j,j]', 't -- (t) -- B -- (j) -- q -- [l,j]', 't -- (t) -- B -- (j) -- d -- [l,j]']",ttjjjjlX, 2j_l + 1t + MET, 2j_l + 1t + 1l, 4j_l + 2t + 1l + MET
L Q D,t,t,tjjl,tjjX,"['t -- (t) -- B -- (l) -- l -- [j,j]', 't -- (t) -- B -- (j) -- q -- [l,j]', 't -- (t) -- B -- (j) -- d -- [l,j]']","['t -- (t) -- B -- (X) -- nu -- [j,j]', 't -- (t) -- B -- (j) -- q -- [X,j]', 't -- (t) -- B -- (j) -- d -- [X,j]']",ttjjjjlX, 2j_l + 1t + 1l, 2j_l + 1t + MET, 4j_l + 2t + 1l + MET
L Q D,t,t,tjjl,tjjl,"['t -- (t) -- B -- (l) -- l -- [j,j]', 't -- (t) -- B -- (j) -- q -- [l,j]', 't -- (t) -- B -- (j) -- d -- [l,j]']","['t -- (t) -- B -- (l) -- l -- [j,j]', 't -- (t) -- B -- (j) -- q -- [l,j]', 't -- (t) -- B -- (j) -- d -- [l,j]']",ttjjjjll, 2j_l + 1t + 1l, 2j_l + 1t + 1l, 4j_l + 2t + 2l
L Q D,b,b,bjjX,bjjX,"['b -- (b) -- B -- (X) -- nu -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [X,j]', 'b -- (b) -- B -- (j) -- d -- [X,j]']","['b -- (b) -- B -- (X) -- nu -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [X,j]', 'b -- (b) -- B -- (j) -- d -- [X,j]']",bbjjjjX, 2j_l + 1b + MET, 2j_l + 1b + MET, 4j_l + 2b + MET
L Q D,b,b,bjjX,bjjl,"['b -- (b) -- B -- (X) -- nu -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [X,j]', 'b -- (b) -- B -- (j) -- d -- [X,j]']","['b -- (b) -- B -- (l) -- l -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [l,j]', 'b -- (b) -- B -- (j) -- d -- [l,j]']",bbjjjjlX, 2j_l + 1b + MET, 2j_l + 1b + 1l, 4j_l + 2b + 1l + MET
L Q D,b,b,bjjl,bjjX,"['b -- (b) -- B -- (l) -- l -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [l,j]', 'b -- (b) -- B -- (j) -- d -- [l,j]']","['b -- (b) -- B -- (X) -- nu -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [X,j]', 'b -- (b) -- B -- (j) -- d -- [X,j]']",bbjjjjlX, 2j_l + 1b + 1l, 2j_l + 1b + MET, 4j_l + 2b + 1l + MET
L Q D,b,b,bjjl,bjjl,"['b -- (b) -- B -- (l) -- l -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [l,j]', 'b -- (b) -- B -- (j) -- d -- [l,j]']","['b -- (b) -- B -- (l) -- l -- [j,j]', 'b -- (b) -- B -- (j) -- q -- [l,j]', 'b -- (b) -- B -- (j) -- d -- [l,j]']",bbjjjjll, 2j_l + 1b + 1l, 2j_l + 1b + 1l, 4j_l + 2b + 2l
L Q D,tau_L,tau_L,jjTX,jjTX,"['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']","['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']",jjjjTTX, 2j_l + 1tau + MET, 2j_l + 1tau + MET, 4j_l + 2tau + MET
L Q D,tau_L,tau_L,jjTX,jjlX,"['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']","['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']",jjjjTlX, 2j_l + 1tau + MET, 2j_l + 1l + MET, 4j_l + 1l + 1tau + MET
L Q D,tau_L,tau_L,jjTX,jjX,"['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']","['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']",jjjjTX, 2j_l + 1tau + MET, 2j_l + MET, 4j_l + 1tau + MET
L Q D,tau_L,tau_L,jjTX,jjTl,"['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']","['tau_L -- (T) -- B -- (l) -- l -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [l,j]', 'tau_L -- (T) -- B -- (j) -- d -- [l,j]']",jjjjTTlX, 2j_l + 1tau + MET, 2j_l + 1l + 1tau, 4j_l + 1l + 2tau + MET
L Q D,tau_L,tau_L,jjlX,jjTX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']","['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']",jjjjTlX, 2j_l + 1l + MET, 2j_l + 1tau + MET, 4j_l + 1l + 1tau + MET
L Q D,tau_L,tau_L,jjlX,jjlX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']","['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']",jjjjllX, 2j_l + 1l + MET, 2j_l + 1l + MET, 4j_l + 2l + MET
L Q D,tau_L,tau_L,jjlX,jjX,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']","['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']",jjjjlX, 2j_l + 1l + MET, 2j_l + MET, 4j_l + 1l + MET
L Q D,tau_L,tau_L,jjlX,jjTl,"['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']","['tau_L -- (T) -- B -- (l) -- l -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [l,j]', 'tau_L -- (T) -- B -- (j) -- d -- [l,j]']",jjjjTllX, 2j_l + 1l + MET, 2j_l + 1l + 1tau, 4j_l + 2l + 1tau + MET
L Q D,tau_L,tau_L,jjX,jjTX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']","['tau_L -- (T) -- B -- (X) -- nu -- [j,j]', 'tau_L -- (T) -- B -- (j) -- q -- [X,j]', 'tau_L -- (T) -- B -- (j) -- d -- [X,j]']",jjjjTX, 2j_l + MET, 2j_l + 1tau + MET, 4j_l + 1tau + MET
L Q D,tau_L,tau_L,jjX,jjlX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']","['tau_L -- (X) -- W^+ -- (j) -- q -- [l,j]', 'tau_L -- (X) -- W^+ -- (l) -- nu -- [j,j]']",jjjjlX, 2j_l + MET, 2j_l + 1l + MET, 4j_l + 1l + MET
L Q D,tau_L,tau_L,jjX,jjX,"['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']","['tau_L -- (X) -- W^+ -- (X) -- l -- [j,j]', 'tau_L -- (X) -- W^+ -- (j) -- q -- [X,j]']",jjjjX, 2j_l + MET, 2j_l + MET, 4j_l + MET
