CAT A,CAT B,LSP A,LSP B,Signature A,Signature B,Chain A,Chain B,Signatures,Signature A (ER),Signature B (ER),Signatures (ER)
U D_3 D,L_3 Q_3 D_3,B,B,bjj,tbT,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (T) -- tau_L -- [t,b]', 'B -- (t) -- t_L -- [T,b]', 'B -- (b) -- b -- [T,t]']",tbbjjT, 2j_l + 1b, 1t + 1b + 1tau, 2j_l + 1t + 2b + 1tau
U D_3 D,L_3 Q_3 D_3,B,B,bjj,bbX,"['B -- (j) -- u -- [j,b]', 'B -- (j) -- d -- [j,b]', 'B -- (b) -- b -- [j,j]']","['B -- (X) -- nu_tau -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbbjjX, 2j_l + 1b, 2b + MET, 2j_l + 3b + MET
U D_3 D_3,L Q D,B,B,bbj,jjl,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (l) -- l -- [j,j]', 'B -- (j) -- q -- [l,j]', 'B -- (j) -- d -- [l,j]']",bbjjjl, 1j_l + 2b, 2j_l + 1l, 3j_l + 2b + 1l
U D_3 D_3,L Q D,B,B,bbj,jjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",bbjjjX, 1j_l + 2b, 2j_l + MET, 3j_l + 2b + MET
U D_3 D_3,L Q D_3,B,B,bbj,bjl,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (l) -- l -- [j,b]', 'B -- (j) -- q -- [l,b]', 'B -- (b) -- b -- [l,j]']",bbbjjl, 1j_l + 2b, 1j_l + 1b + 1l, 2j_l + 3b + 1l
U D_3 D_3,L Q D_3,B,B,bbj,bjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",bbbjjX, 1j_l + 2b, 1j_l + 1b + MET, 2j_l + 3b + MET
U D_3 D_3,L Q_3 D,B,B,bbj,tjl,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (l) -- l -- [t,j]', 'B -- (t) -- t_L -- [l,j]', 'B -- (j) -- d -- [l,t]']",tbbjjl, 1j_l + 2b, 1j_l + 1t + 1l, 2j_l + 1t + 2b + 1l
U D_3 D_3,L Q_3 D,B,B,bbj,bjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",bbbjjX, 1j_l + 2b, 1j_l + 1b + MET, 2j_l + 3b + MET
U D_3 D_3,L Q_3 D_3,B,B,bbj,tbl,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (l) -- l -- [t,b]', 'B -- (t) -- t_L -- [l,b]', 'B -- (b) -- b -- [l,t]']",tbbbjl, 1j_l + 2b, 1t + 1b + 1l, 1j_l + 1t + 3b + 1l
U D_3 D_3,L Q_3 D_3,B,B,bbj,bbX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu -- [b,b]', 'B -- (b) -- b_L -- [X,b]', 'B -- (b) -- b -- [X,b]']",bbbbjX, 1j_l + 2b, 2b + MET, 1j_l + 4b + MET
U D_3 D_3,L_3 Q D,B,B,bbj,jjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu_tau -- [j,j]', 'B -- (j) -- q -- [X,j]', 'B -- (j) -- d -- [X,j]']",bbjjjX, 1j_l + 2b, 2j_l + MET, 3j_l + 2b + MET
U D_3 D_3,L_3 Q D,B,B,bbj,jjT,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (T) -- tau_L -- [j,j]', 'B -- (j) -- q -- [T,j]', 'B -- (j) -- d -- [T,j]']",bbjjjT, 1j_l + 2b, 2j_l + 1tau, 3j_l + 2b + 1tau
U D_3 D_3,L_3 Q D_3,B,B,bbj,bjT,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (T) -- tau_L -- [j,b]', 'B -- (j) -- q -- [T,b]', 'B -- (b) -- b -- [T,j]']",bbbjjT, 1j_l + 2b, 1j_l + 1b + 1tau, 2j_l + 3b + 1tau
U D_3 D_3,L_3 Q D_3,B,B,bbj,bjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu_tau -- [j,b]', 'B -- (j) -- q -- [X,b]', 'B -- (b) -- b -- [X,j]']",bbbjjX, 1j_l + 2b, 1j_l + 1b + MET, 2j_l + 3b + MET
U D_3 D_3,L_3 Q_3 D,B,B,bbj,tjT,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (T) -- tau_L -- [t,j]', 'B -- (t) -- t_L -- [T,j]', 'B -- (j) -- d -- [T,t]']",tbbjjT, 1j_l + 2b, 1j_l + 1t + 1tau, 2j_l + 1t + 2b + 1tau
U D_3 D_3,L_3 Q_3 D,B,B,bbj,bjX,"['B -- (j) -- u -- [b,b]', 'B -- (b) -- b -- [j,b]', 'B -- (b) -- b -- [j,b]']","['B -- (X) -- nu_tau -- [b,j]', 'B -- (b) -- b_L -- [X,j]', 'B -- (j) -- d -- [X,b]']",bbbjjX, 1j_l + 2b, 1j_l + 1b + MET, 2j_l + 3b + MET
