 nu d & sup. & jE
 nu q & sup. & jE 
 nu u & sup. & jE
 nu e & sup. & lE
 nu H^pm & sup. & E 
 nu t & sup. & tE
 nu b & sup. & bE
 nu t_L & sup. & tE 
 nu b_L & sup. & bE 
 nu tau & sup. & TE
 nu tau_L & sup. & TE
 nu nu_tau & sup. & E 
 tau d & sup. & jT
 tau q & sup. & jT 
 tau u & sup. & jT
 tau W^0 & sup. & T
 tau W^pm & sup. & T
 tau e & sup. & lT
 tau l & sup. & lT
 tau nu & sup. & TE
 tau t & sup. & tT 
 tau b & sup. & bT
 tau t_L & sup. & tT
 tau b_L & sup. & bT
 tau tau_L & sup. & TT 
 tau nu_tau & sup. & TE
 tau_L d & sup. & jT
 tau_L q & sup. & jT 
 tau_L u & sup. & jT
 tau_L e & sup. & lT
 tau_L H^pm & sup. & T 
 tau_L l & sup. & Tl
 tau_L nu & sup. & TE
 tau_L t & sup. & tT 
 tau_L b & sup. & bT
 tau_L t_L & sup. & tT
 tau_L b_L & sup. & bT
 tau_L tau & sup. & TT 
 nu_tau d & sup. & jE
 nu_tau q & sup. & jE 
 nu_tau u & sup. & jE
 nu_tau e & sup. & lE
 nu_tau H^0 & sup. & E
 nu_tau l & sup. & lE
 nu_tau nu & sup. & E
 nu_tau t & sup. & tE 
 nu_tau b & sup. & bE
 nu_tau t_L & sup. & tE
 nu_tau b_L & sup. & bE
 nu_tau tau & sup. & TE 
